Sample_ID,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
100001,-67.9273612252,47.1601807342,-261.30395836666673,68.48932272934364,843.9164143095371,1.3084011776031912,0.1622405674759252,0.0910565422967106,0.0147730650946138,0.0,0.0,112.6338165270038,13.766531437835722,165.64841454486535,0.0,0.1091162956529459,0.0,0.0099357525903828
100002,-68.0024586084,46.8479089414,-596.2355759168775,73.2495789521187,844.3511275043908,1.7962330168304916,0.1754848760697167,0.1250065885536657,0.021936765700238,0.0,0.0,242.84281318956715,16.04568477342679,165.6549653137543,0.0,0.1199966774503455,0.0,0.0150003752858423
100003,-67.8319392853,46.7736187052,-813.1160468091942,85.42509068238141,845.858421120387,1.927862035844904,0.1909274178514043,0.1341671453786881,0.0256161866276468,0.0,0.0,411.3491750609448,35.888781307653,166.69733244680938,0.0,0.1177309705238479,0.0,0.0157956282378471
100004,-67.2980373631,45.1687180464,-442.3817098253825,69.73179778399063,844.0279666390695,1.226698724861098,0.1656669290869144,0.0853705623608903,0.0141430789007515,0.0,0.0,191.1381934886588,13.47418658611014,165.56882546155694,0.0,0.1087558618529538,0.0,0.0092845490864299
100005,-67.9355420529,44.6060839859,-114.45657536887953,70.32484762016297,844.0684811295554,0.6234808794201872,0.1658149397712991,0.0433903714242393,0.0071947718243645,0.0,0.0,83.35256584538362,13.732159664177162,165.63922383630324,0.0,0.109032115519586,0.0,0.0047309439895653
100006,-68.6437497835,45.2562592587,-649.6386228877625,83.37321090731429,845.7165461929777,1.3886271147444174,0.196095704686263,0.0966397659773673,0.0189506430100473,0.0,0.0,478.91593411402863,40.20570575364241,167.3269705671137,0.0,0.1434194534308492,0.0,0.0138600224161592
100007,-68.6976688239,44.8272759862,-580.3559356242798,78.95560221920127,845.014385719707,1.3557122278144589,0.1874202259873551,0.0943490956193511,0.0176829288226813,0.0,0.0,406.1935131777293,29.36129005019951,166.6318988663157,0.0,0.132188187575902,0.0,0.0124718359493474
100008,-69.8848789022,45.0515545607,-624.2035391278511,80.19465422336498,845.15665516096,0.4001721783157075,0.1922703741729185,0.0278494818749099,0.0053546303006108,0.0,0.0,432.8187102306858,29.29121730647853,166.4752485923958,0.0,0.1364112502155896,0.0,0.0037989826404128
100009,-69.6814483853,44.4726905408,-100.863300157166,70.74128027954711,844.1063251173262,1.1368766950550675,0.1689525557475411,0.079119510622163,0.0133674435291091,0.0,0.0,136.6094728414795,12.456237815854315,165.52106810576487,0.0,0.1117145078054835,0.0,0.0088387971869656
100010,-70.9770838575,44.389592367,57.50975812464738,76.2406755498782,844.5973804667589,1.6406452764866952,0.1750548512639592,0.1141786545056262,0.0199875273820013,0.0,0.0,138.28777695832412,13.90171034707646,165.56588548808534,0.0,0.1101934646197338,0.0,0.0125817415255945
100011,-70.2064326548,44.0731455038,-343.1454847067326,67.30390142233992,843.81983895944,2.033721908268194,0.1599385688660379,0.1415343307006193,0.0226367982976695,0.0,0.0,81.2236518439628,13.1740424601083,165.60700891501605,0.0,0.107563151211586,0.0,0.0152238786147813
100013,-69.9744186896,43.918531399,-150.42077240349414,69.66968354247979,844.0161767242987,1.915066929855934,0.1651057797762131,0.1332766859923631,0.0220047511667585,0.0,0.0,116.17748721265686,13.187736601104213,165.58348639751884,0.0,0.1103948069330864,0.0,0.0147130540188085
100014,-70.3019546667,43.7268608231,-79.39528845198164,71.0429087000576,844.128546469711,0.8262058110715312,0.1690415182061171,0.0574987593021251,0.0097196775673992,0.0,0.0,87.42349793064646,12.876600082907444,165.57085404886715,0.0,0.1118207852748456,0.0,0.0064295564174929
