Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate
CM_001-1,-117.180494,46.732215,8.66,6.5,10.25,87.93,-41.53,-117.180494,46.732215,-206.4862175293441,78.41463160302798,950.14867352599,2.646660506219756,0.1441449009643844,0.183881202841068,0.0265055377727376,1.6183619311098782,2.314891068821899
CM_001-2,-117.180494,46.732215,8.66,6.5,10.25,87.93,-47.82,-117.180494,46.732215,-206.4862175293441,78.41463160302798,950.14867352599,2.646660506219756,0.1441449009643844,0.183881202841068,0.0265055377727376,1.6796095717797561,2.314891068821899
CM_001-3,-117.180494,46.732215,8.66,6.5,10.25,87.93,-42.31,-117.180494,46.732215,-206.4862175293441,78.41463160302798,950.14867352599,2.646660506219756,0.1441449009643844,0.183881202841068,0.0265055377727376,1.6264430253312947,2.314891068821899
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-83.28,-77.388447,38.7819267,-166.33395271548193,79.34998198732903,950.2264687502686,0.318506649537494,0.1456602839086987,0.0221287867077009,0.0032232853543987,1.9205407165024797,2.2209809081006124
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-173.76,-77.388447,38.7819267,-166.33395271548193,79.34998198732903,950.2264687502686,0.318506649537494,0.1456602839086987,0.0221287867077009,0.0032232853543987,2.239949807908753,2.2209809081006124
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-6.67,-77.1803039,40.1046605,-61.45735620016946,82.6056768694762,950.5044108684996,0.6570202879509282,0.1511955552985712,0.0456475927137177,0.0069017131283935,0.8241258339165489,1.7885738736493875
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-8.08,-77.1803039,40.1046605,-61.45735620016946,82.6056768694762,950.5044108684996,0.6570202879509282,0.1511955552985712,0.0456475927137177,0.0069017131283935,0.9074113607745862,1.7885738736493875
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-9.91,-77.1803039,40.1046605,-61.45735620016946,82.6056768694762,950.5044108684996,0.6570202879509282,0.1511955552985712,0.0456475927137177,0.0069017131283935,0.9960736544852753,1.7885738736493875
CM_004-1,-73.19778,42.72306,14.89,6.5,11.31,111.85,-7.22,-73.19778,42.72306,-57.91804415362016,82.72098585388925,950.5145580562609,0.5613504249899378,0.1513674042027479,0.0390007676163675,0.0059034449560041,0.8585371975696391,1.762813887656769
CM_004-2,-73.19778,42.72306,14.89,6.5,11.31,111.85,-17.87,-73.19778,42.72306,-57.91804415362016,82.72098585388925,950.5145580562609,0.5613504249899378,0.1513674042027479,0.0390007676163675,0.0059034449560041,1.2521245525056444,1.762813887656769
CM_004-3,-73.19778,42.72306,14.89,6.5,11.31,111.85,-9.84,-73.19778,42.72306,-57.91804415362016,82.72098585388925,950.5145580562609,0.5613504249899378,0.1513674042027479,0.0390007676163675,0.0059034449560041,0.9929950984313415,1.762813887656769
CM_005-1,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.16,-122.58061,48.81862,-78.37804925225232,82.02532002982848,950.4540874944852,2.442232573931892,0.1504697882960415,0.169678227432977,0.0255314469602876,0.06445798922691845,1.8941944501407408
CM_005-2,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.8,-122.58061,48.81862,-78.37804925225232,82.02532002982848,950.4540874944852,2.442232573931892,0.1504697882960415,0.169678227432977,0.0255314469602876,0.25527250510330607,1.8941944501407408
CM_005-3,-122.58061,48.81862,5.31,6.3,11.04,87.15,-2.56,-122.58061,48.81862,-78.37804925225232,82.02532002982848,950.4540874944852,2.442232573931892,0.1504697882960415,0.169678227432977,0.0255314469602876,0.4082399653118496,1.8941944501407408
CM_006-1,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-3657.26,-119.8217832,38.9745676,-2679.8828591160136,231.1357830230457,975.109632985623,5.355038635300129,0.4284308790490443,0.3720503416306386,0.1593978549153117,3.5631558360699276,3.428115810912603
CM_006-2,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2199.18,-119.8217832,38.9745676,-2679.8828591160136,231.1357830230457,975.109632985623,5.355038635300129,0.4284308790490443,0.3720503416306386,0.1593978549153117,3.3422607772495927,3.428115810912603
CM_006-3,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2196.81,-119.8217832,38.9745676,-2679.8828591160136,231.1357830230457,975.109632985623,5.355038635300129,0.4284308790490443,0.3720503416306386,0.1593978549153117,3.3417924968295583,3.428115810912603
CM_007-1,-121.580361,39.007299,13.15,6.5,10.53,100.23,-2.13,-121.580361,39.007299,-63.35082175130695,82.53230804957096,950.497967189374,4.804334624187187,0.1511951449846841,0.3337892515758794,0.0504673142863442,0.3283796034387377,1.8017522526802883
CM_007-2,-121.580361,39.007299,13.15,6.5,10.53,100.23,-1.78,-121.580361,39.007299,-63.35082175130695,82.53230804957096,950.497967189374,4.804334624187187,0.1511951449846841,0.3337892515758794,0.0504673142863442,0.250420002308894,1.8017522526802883
CM_007-3,-121.580361,39.007299,13.15,6.5,10.53,100.23,-6.94,-121.580361,39.007299,-63.35082175130695,82.53230804957096,950.497967189374,4.804334624187187,0.1511951449846841,0.3337892515758794,0.0504673142863442,0.8413594704548549,1.8017522526802883
CM_008-1,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2719.07,-117.611779,33.94849,-3054.9383196862013,270.7440481390459,986.29160605839,4.093117946680207,0.5022727220328083,0.2843762732836977,0.1428344448637485,3.434420388250395,3.485002446103828
CM_008-2,-117.611779,33.94849,29.98,9.5,18.88,249.65,-3664.98,-117.611779,33.94849,-3054.9383196862013,270.7440481390459,986.29160605839,4.093117946680207,0.5022727220328083,0.2843762732836977,0.1428344448637485,3.564071609014435,3.485002446103828
CM_008-3,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2756.74,-117.611779,33.94849,-3054.9383196862013,270.7440481390459,986.29160605839,4.093117946680207,0.5022727220328083,0.2843762732836977,0.1428344448637485,3.440395807857696,3.485002446103828
CM_009-1,-121.10824,37.7323106,16.62,6.25,9.35,95.97,-16.93,-121.10824,37.7323106,-86.60271713743411,81.75601189824704,950.4308629680776,5.098012385544488,0.1497417590342294,0.3541930093979145,0.053037484264871,1.2286569581089353,1.937531518106057
CM_009-2,-121.10824,37.7323106,16.62,6.25,9.35,95.97,-15.64,-121.10824,37.7323106,-86.60271713743411,81.75601189824704,950.4308629680776,5.098012385544488,0.1497417590342294,0.3541930093979145,0.053037484264871,1.1942367487238292,1.937531518106057
CM_009-3,-121.10824,37.7323106,16.62,6.25,9.35,95.97,-13.12,-121.10824,37.7323106,-86.60271713743411,81.75601189824704,950.4308629680776,5.098012385544488,0.1497417590342294,0.3541930093979145,0.053037484264871,1.1179338350396415,1.937531518106057
CM_010-1,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-6.64,-79.8466751,33.666607,-106.3079002830514,81.14965899120227,950.3789198124708,3.2562119934011924,0.1488174769438683,0.226230820554817,0.0336670999219088,0.8221680793680175,2.0265655403637686
CM_010-2,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-4.16,-79.8466751,33.666607,-106.3079002830514,81.14965899120227,950.3789198124708,3.2562119934011924,0.1488174769438683,0.226230820554817,0.0336670999219088,0.6190933306267428,2.0265655403637686
CM_010-3,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-5.69,-79.8466751,33.666607,-106.3079002830514,81.14965899120227,950.3789198124708,3.2562119934011924,0.1488174769438683,0.226230820554817,0.0336670999219088,0.7551122663950712,2.0265655403637686
CM_011-1,-73.506215,42.505483,24.95,6.5,8.49,102.7,-93.9,-73.506215,42.505483,-130.16394827765362,80.35311708298413,950.3112006422756,0.4863082337065104,0.1470580301912039,0.0337870848018931,0.0049686621368695,1.972665592266111,2.114490713631871
CM_011-2,-73.506215,42.505483,24.95,6.5,8.49,102.7,-82.29,-73.506215,42.505483,-130.16394827765362,80.35311708298413,950.3112006422756,0.4863082337065104,0.1470580301912039,0.0337870848018931,0.0049686621368695,1.915347062324192,2.114490713631871
CM_011-3,-73.506215,42.505483,24.95,6.5,8.49,102.7,-105.08,-73.506215,42.505483,-130.16394827765362,80.35311708298413,950.3112006422756,0.4863082337065104,0.1470580301912039,0.0337870848018931,0.0049686621368695,2.0215200641140325,2.114490713631871
CM_012-1,-73.33724,42.763802,22.49,6.5,10.32,119.16,-38.69,-73.33724,42.763802,-81.62146621535756,81.88238626704994,950.4418845459584,0.999674338768174,0.1498114715964783,0.0694540608551999,0.0104050150650688,1.587598729721245,1.9118043919996106
CM_012-2,-73.33724,42.763802,22.49,6.5,10.32,119.16,-33.77,-73.33724,42.763802,-81.62146621535756,81.88238626704994,950.4418845459584,0.999674338768174,0.1498114715964783,0.0694540608551999,0.0104050150650688,1.5285310606354117,1.9118043919996106
CM_012-3,-73.33724,42.763802,22.49,6.5,10.32,119.16,-28.09,-73.33724,42.763802,-81.62146621535756,81.88238626704994,950.4418845459584,0.999674338768174,0.1498114715964783,0.0694540608551999,0.0104050150650688,1.448551739201578,1.9118043919996106
CM_013-1,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-38.07,-83.1577589,41.309341,-192.53043645596216,78.86332871552113,950.1859819179688,3.2075368470088854,0.1448934129293337,0.2228490326579378,0.0322893569098091,1.5805828768143673,2.2844993953509825
CM_013-2,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-35.25,-83.1577589,41.309341,-192.53043645596216,78.86332871552113,950.1859819179688,3.2075368470088854,0.1448934129293337,0.2228490326579378,0.0322893569098091,1.5471591213274176,2.2844993953509825
CM_013-3,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-39.92,-83.1577589,41.309341,-192.53043645596216,78.86332871552113,950.1859819179688,3.2075368470088854,0.1448934129293337,0.2228490326579378,0.0322893569098091,1.6011905326153335,2.2844993953509825
CM_014-1,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-46.59,-77.4402867,35.3667814,-155.3757424390671,79.66425002613512,950.2528383358082,3.139898204115448,0.146361920070267,0.2181497238555604,0.0319288124462983,1.668292710448221,2.191383216863987
CM_014-2,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-56.28,-77.4402867,35.3667814,-155.3757424390671,79.66425002613512,950.2528383358082,3.139898204115448,0.146361920070267,0.2181497238555604,0.0319288124462983,1.750354088762708,2.191383216863987
CM_014-3,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-32.54,-77.4402867,35.3667814,-155.3757424390671,79.66425002613512,950.2528383358082,3.139898204115448,0.146361920070267,0.2181497238555604,0.0319288124462983,1.51241754860084,2.191383216863987
CM_015-1,-106.046835,39.480297,11.05,6.5,7.86,71.4,-40.73,-106.04683500000002,39.480297,-73.01088212032889,82.17896411729782,950.4674725403804,3.743566007838377,0.1504238564843513,0.2600905627369116,0.0391238254820713,1.6099144100859977,1.863387595635376
CM_015-2,-106.046835,39.480297,11.05,6.5,7.86,71.4,-33.1,-106.04683500000002,39.480297,-73.01088212032889,82.17896411729782,950.4674725403804,3.743566007838377,0.1504238564843513,0.2600905627369116,0.0391238254820713,1.5198279937757189,1.863387595635376
CM_015-3,-106.046835,39.480297,11.05,6.5,7.86,71.4,-22.8,-106.04683500000002,39.480297,-73.01088212032889,82.17896411729782,950.4674725403804,3.743566007838377,0.1504238564843513,0.2600905627369116,0.0391238254820713,1.3579348470004537,1.863387595635376
CM_016-1,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3860.77,-83.96496,43.40991,-3741.984057100515,332.3985337933258,1005.0237268273476,3.2651347651056257,0.6237596190835094,0.2268507451691874,0.1415003343955426,3.586673929905294,3.5731019328358187
CM_016-2,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3462.55,-83.96496,43.40991,-3741.984057100515,332.3985337933258,1005.0237268273476,3.2651347651056257,0.6237596190835094,0.2268507451691874,0.1415003343955426,3.5393960534276854,3.5731019328358187
CM_016-3,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3840.88,-83.96496,43.40991,-3741.984057100515,332.3985337933258,1005.0237268273476,3.2651347651056257,0.6237596190835094,0.2268507451691874,0.1415003343955426,3.584430738784042,3.5731019328358187
CM_017-1,-110.5660089,45.597409,0.38,6.0,11.69,80.84,-2.54,-110.5660089,45.597409,-46.69150883168882,83.12629488349417,950.5499042235806,1.1219709978006167,0.1521876453506809,0.0779508275215259,0.011863152893638,0.40483371661993806,1.6692379083426467
CM_017-2,-110.5660089,45.597409,0.38,6.0,11.69,80.84,-2.85,-110.5660089,45.597409,-46.69150883168882,83.12629488349417,950.5499042235806,1.1219709978006167,0.1521876453506809,0.0779508275215259,0.011863152893638,0.4548448600085102,1.6692379083426467
CM_017-3,-110.5660089,45.597409,0.38,6.0,11.69,80.84,-2.5,-110.5660089,45.597409,-46.69150883168882,83.12629488349417,950.5499042235806,1.1219709978006167,0.1521876453506809,0.0779508275215259,0.011863152893638,0.3979400086720376,1.6692379083426467
CM_018-1,-102.126046,41.316592,20.47,8.0,8.26,91.71,-1.78,-102.126046,41.316592,-160.01251860499292,80.14837060506379,950.29520860562,3.591954566414012,0.1465731588298306,0.2495571021181187,0.0365783727658712,0.250420002308894,2.204153961083369
