Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Respiration_Rate_mg_per_L_per_H_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Respiration_Rate_mg_per_L_per_H_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std,Sample_ID
-82.2389713643,36.5354166411,-11.7968558903,2.28139771655,19.5952206233,0.012552441335,0.170870250199,0.000859666781591,0.000146891478058,0,0,1.74130705114,0.605243201016,5.47398756445,0,0.154189942015,0,0.000132551971206,101234
-79.9725965438,39.760747745,-6.41627683561,1.97353275464,19.5576920422,0.040665963291,0.14172044093,0.00278505008307,0.000394698525785,0,0,1.37826509853,0.690286167628,5.50016698885,0,0.116010521686,0,0.000323095113058,101107
-91.3899381275,37.3475849153,-11.9130429047,2.38146204529,19.6090289341,0.059351361813,0.174857204491,0.00406473870948,0.000710748847725,0,0,1.69719147815,0.788367131781,5.48968835416,0,0.151601773733,0,0.00061622159812,102150
-71.3521754796,42.7816340779,-11.1503534672,2.33192546839,19.6036871833,0.065558625893,0.1734857747,0.00448984953786,0.000778925025364,0,0,2.43903530922,0.795526774891,5.48829015857,0,0.15478664404,0,0.000694968742212,102550
-71.7109029692,42.2303806253,-10.2405437296,2.14372955517,19.5775876133,0.0870779833455,0.162389337465,0.00596362473979,0.000968429070384,0,0,1.83967433068,0.598323686915,5.48149675083,0,0.142460231556,0,0.000849579361345,100046
-70.7435056312,43.3151044661,-8.08643578096,2.05892666039,19.5665340824,0.0989277599853,0.147625896057,0.00677516881115,0.00100019036668,0,0,2.5265563901,0.63561163172,5.49341212875,0,0.123696752372,0,0.00083806637871,100017
-80.2978641547,38.8853855255,-9.420904331,2.04232867549,19.5653671874,0.113896115959,0.146806371883,0.00780029197739,0.00114513256483,0,0,1.68430090886,0.556102959331,5.48251087005,0,0.121730138329,0,0.000949530621411,103523
-86.1351997157,35.422818282,-7.75719370715,1.91666531201,19.5515405219,0.123293989267,0.13672219698,0.00844391494163,0.00115447060193,0,0,1.26320980234,0.583604172989,5.4897579175,0,0.110321929753,0,0.000931548991027,101317
-91.0982012264,37.4938527774,-11.1236853076,2.18043292449,19.5825908381,0.104072000623,0.164151151988,0.00712747739199,0.00116998362467,0,0,1.11878397077,0.550342414524,5.47269049287,0,0.148748881866,0,0.00106020429258,102140
-73.9140263065,41.8001016617,-15.7557486522,3.26278445102,19.7539607146,0.0773407245783,0.265145048345,0.0052967586153,0.00140440931912,0,0,2.97369767834,1.23886363522,5.49892893209,0,0.259385706413,0,0.00137390347513,103111
-73.4270844722,41.1395916761,-8.49884373072,1.94859998905,19.5548079934,0.147750906402,0.138867229116,0.0101188719225,0.00140517970566,0,0,1.33190497183,0.610638593549,5.49225839077,0,0.113252345867,0,0.00114598598275,100141
-71.9019858951,41.9770770293,-11.4542478138,2.36345786777,19.6083765907,0.125281725638,0.166729372077,0.0085800470998,0.00143054586534,0,0,2.21518854645,0.896430706784,5.50020443937,0,0.138859890701,0,0.00119142440249,100054
-72.4181499338,43.7142450081,-5.95381380333,2.00695782991,19.5610870459,0.1476805927,0.146970704127,0.0101140564167,0.00148646999314,0,0,1.05699191131,0.656461187481,5.49604854833,0,0.122393753516,0,0.00123789732812,100068
-86.9979215741,35.0104232589,-8.7522752363,1.95614481474,19.5559143256,0.153168664882,0.144386421046,0.0104899126525,0.00151460094498,0,0,1.69150261821,0.526230089011,5.4821161695,0,0.122067980348,0,0.00128048245151,101301
-75.1729853127,41.477361937,-10.6021687784,2.10299243544,19.5729409537,0.145876564877,0.15420597067,0.00999050572642,0.00154059563303,0,0,2.59461625151,0.573681856117,5.47976617495,0,0.137776389632,0,0.00137645580958,100296
-79.4059366209,39.5105649203,-8.51376807445,2.0495817059,19.5665164548,0.147242730638,0.15360143793,0.0100840689856,0.00154892749638,0,0,2.65655466833,0.492289092802,5.47485432518,0,0.135292941466,0,0.00136430335502,101120
-91.0062332217,37.477176391,-10.0849583155,2.08882324471,19.5711156221,0.148573946284,0.154164901566,0.0101752386506,0.00156866466497,0,0,1.80053203164,0.558689088222,5.47943936772,0,0.135774887479,0,0.00138154188285,102141
-70.8521447672,43.4072254227,-5.73183786164,2.04066761671,19.5650974162,0.159378717401,0.144509202404,0.01091521445,0.00157734893424,0,0,1.97037093979,0.741131670563,5.50473837921,0,0.119309412939,0,0.00130228782813,100016
-79.1103381165,40.8397782942,-10.4736492972,2.0834544904,19.5703667084,0.154103368119,0.15431783229,0.0105539267596,0.00162865909969,0,0,1.02158898329,0.481739681889,5.47283082641,0,0.13014553525,0,0.00137354644712,101081
-80.493955069,39.1062165618,-11.7229417085,2.26642981353,19.5932277221,0.142467142494,0.16865411721,0.00975700794787,0.00164555956206,0,0,2.170600757,0.578765994805,5.47214144599,0,0.151520610284,0,0.00147838779881,103544
-74.1161126532,43.9688977411,-9.89228206669,2.16168726685,19.5789330459,0.15466671491,0.159004562713,0.0105925081406,0.00168425712493,0,0,1.99118668033,0.700512294774,5.49608068012,0,0.134553688143,0,0.001425261037,104158
-73.7396750721,42.0144464324,-9.80433683934,2.10623241348,19.5730592116,0.161192794183,0.154029324674,0.0110394533535,0.00170039954481,0,0,1.59403841081,0.600591549251,5.48356144126,0,0.1298639912,0,0.00143362747316,103109
-71.6311427616,42.3273972203,-11.913094885,2.45297546174,19.6206632554,0.129307043017,0.197726578727,0.00885572507699,0.00175101222162,0,0,2.72802575006,0.730715145362,5.47047696484,0,0.18978706112,0,0.00168070203645,100030
