Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
CM_001-1,-117.180494,46.732215,8.66,6.5,10.25,87.93,-41.53,-117.180494,46.732215,-194.54742268386303,113.2206138113261,1132.0523484657383,2.5664981305085783,0.1788468117441994,0.1741821422182154,0.0311519207985024,1.6183619311098782,2.2890254817519917,-41.53,-194.54742268386303,0.0,0.0,52.67577433172459,17.083105016768023,156.27978524992096,0.0,0.073336793678734,0.0,0.0127739598263771
CM_001-2,-117.180494,46.732215,8.66,6.5,10.25,87.93,-47.82,-117.180494,46.732215,-194.54742268386303,113.2206138113261,1132.0523484657383,2.5664981305085783,0.1788468117441994,0.1741821422182154,0.0311519207985024,1.6796095717797561,2.2890254817519917,-47.82,-194.54742268386303,0.0,0.0,52.67577433172459,17.083105016768023,156.27978524992096,0.0,0.073336793678734,0.0,0.0127739598263771
CM_001-3,-117.180494,46.732215,8.66,6.5,10.25,87.93,-42.31,-117.180494,46.732215,-194.54742268386303,113.2206138113261,1132.0523484657383,2.5664981305085783,0.1788468117441994,0.1741821422182154,0.0311519207985024,1.6264430253312947,2.2890254817519917,-42.31,-194.54742268386303,0.0,0.0,52.67577433172459,17.083105016768023,156.27978524992096,0.0,0.073336793678734,0.0,0.0127739598263771
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-83.28,-77.388447,38.7819267,-218.50166777827764,112.21755691271667,1131.9507614039862,0.5194593088736935,0.177029659200256,0.0352544715070117,0.0062410870761713,1.9205407165024797,2.3394547561995243,-83.28,-218.50166777827764,0.0,0.0,62.00475020581831,16.74707464033005,156.2571566011032,0.0,0.0716133093321578,0.0,0.0025246893733733
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-173.76,-77.388447,38.7819267,-218.50166777827764,112.21755691271667,1131.9507614039862,0.5194593088736935,0.177029659200256,0.0352544715070117,0.0062410870761713,2.239949807908753,2.3394547561995243,-173.76,-218.50166777827764,0.0,0.0,62.00475020581831,16.74707464033005,156.2571566011032,0.0,0.0716133093321578,0.0,0.0025246893733733
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-6.67,-77.1803039,40.1046605,-94.53452556908836,117.9762999243083,1132.5379477419851,0.4821583307155112,0.1859961626577191,0.0327229425706787,0.0060863417490151,0.8241258339165489,1.975590448993177,-6.67,-94.53452556908836,0.0,0.0,44.340905602672905,18.34709601046961,156.42234780189682,0.0,0.0752360962907846,0.0,0.0024619464581654
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-8.08,-77.1803039,40.1046605,-94.53452556908836,117.9762999243083,1132.5379477419851,0.4821583307155112,0.1859961626577191,0.0327229425706787,0.0060863417490151,0.9074113607745862,1.975590448993177,-8.08,-94.53452556908836,0.0,0.0,44.340905602672905,18.34709601046961,156.42234780189682,0.0,0.0752360962907846,0.0,0.0024619464581654
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-9.91,-77.1803039,40.1046605,-94.53452556908836,117.9762999243083,1132.5379477419851,0.4821583307155112,0.1859961626577191,0.0327229425706787,0.0060863417490151,0.9960736544852753,1.975590448993177,-9.91,-94.53452556908836,0.0,0.0,44.340905602672905,18.34709601046961,156.42234780189682,0.0,0.0752360962907846,0.0,0.0024619464581654
CM_004-1,-73.19778,42.72306,14.89,6.5,11.31,111.85,-7.22,-73.19778,42.72306,-92.4892712754308,118.07728860844928,1132.5484254637502,0.628315644772621,0.1861896790395468,0.042642292895038,0.0079395548276374,0.8585371975696391,1.9660913576459111,-7.22,-92.4892712754308,0.0,0.0,44.721331868004505,18.28558751811609,156.41552104055904,0.0,0.0752949880256199,0.0,0.0032107509329168
CM_004-2,-73.19778,42.72306,14.89,6.5,11.31,111.85,-17.87,-73.19778,42.72306,-92.4892712754308,118.07728860844928,1132.5484254637502,0.628315644772621,0.1861896790395468,0.042642292895038,0.0079395548276374,1.2521245525056444,1.9660913576459111,-17.87,-92.4892712754308,0.0,0.0,44.721331868004505,18.28558751811609,156.41552104055904,0.0,0.0752949880256199,0.0,0.0032107509329168
CM_004-3,-73.19778,42.72306,14.89,6.5,11.31,111.85,-9.84,-73.19778,42.72306,-92.4892712754308,118.07728860844928,1132.5484254637502,0.628315644772621,0.1861896790395468,0.042642292895038,0.0079395548276374,0.9929950984313415,1.9660913576459111,-9.84,-92.4892712754308,0.0,0.0,44.721331868004505,18.28558751811609,156.41552104055904,0.0,0.0752949880256199,0.0,0.0032107509329168
CM_006-1,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-3657.26,-119.8217832,38.9745676,-2615.8532334979063,308.2847479153066,1169.5081594574883,5.269060583410924,0.4999108491947203,0.3575986473499623,0.1787674434676029,3.5631558360699276,3.4176133735704,-3657.26,-2615.8532334979063,0.0,0.0,413.04268346656914,58.20503117288646,151.9546388589098,0.0,0.2424479949714623,0.0,0.0866990750545054
CM_006-2,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2199.18,-119.8217832,38.9745676,-2615.8532334979063,308.2847479153066,1169.5081594574883,5.269060583410924,0.4999108491947203,0.3575986473499623,0.1787674434676029,3.3422607772495927,3.4176133735704,-2199.18,-2615.8532334979063,0.0,0.0,413.04268346656914,58.20503117288646,151.9546388589098,0.0,0.2424479949714623,0.0,0.0866990750545054
CM_006-3,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2196.81,-119.8217832,38.9745676,-2615.8532334979063,308.2847479153066,1169.5081594574883,5.269060583410924,0.4999108491947203,0.3575986473499623,0.1787674434676029,3.3417924968295583,3.4176133735704,-2196.81,-2615.8532334979063,0.0,0.0,413.04268346656914,58.20503117288646,151.9546388589098,0.0,0.2424479949714623,0.0,0.0866990750545054
CM_007-1,-121.580361,39.007299,13.15,6.5,10.53,100.23,-2.13,-121.580361,39.007299,-94.72933465841218,117.93919326216496,1132.534319632117,4.871007964804631,0.1860012927238719,0.3305837600214938,0.061489006717516,0.3283796034387377,1.9764844870022773,-2.13,-94.72933465841218,0.0,0.0,48.27027821253006,18.038870589353703,156.3845904788924,0.0,0.075442243130869,0.0,0.0249399803986583
CM_007-2,-121.580361,39.007299,13.15,6.5,10.53,100.23,-1.78,-121.580361,39.007299,-94.72933465841218,117.93919326216496,1132.534319632117,4.871007964804631,0.1860012927238719,0.3305837600214938,0.061489006717516,0.250420002308894,1.9764844870022773,-1.78,-94.72933465841218,0.0,0.0,48.27027821253006,18.038870589353703,156.3845904788924,0.0,0.075442243130869,0.0,0.0249399803986583
