Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
CM_001-1,-117.180494,46.732215,8.66,6.5,10.25,87.93,-41.53,-117.180494,46.732215,-219.4136918099,93.0451291396603,1098.4527603571655,2.615990018471621,0.1331511978943966,0.182069866051292,0.0242428207652018,0.0,0.0,80.36159689615067,19.80058117237344,230.95991160649783,0.0,0.0493928735220728,0.0,0.0089929538660522
CM_001-2,-117.180494,46.732215,8.66,6.5,10.25,87.93,-47.82,-117.180494,46.732215,-219.4136918099,93.0451291396603,1098.4527603571655,2.615990018471621,0.1331511978943966,0.182069866051292,0.0242428207652018,0.0,0.0,80.36159689615067,19.80058117237344,230.95991160649783,0.0,0.0493928735220728,0.0,0.0089929538660522
CM_001-3,-117.180494,46.732215,8.66,6.5,10.25,87.93,-42.31,-117.180494,46.732215,-219.4136918099,93.0451291396603,1098.4527603571655,2.615990018471621,0.1331511978943966,0.182069866051292,0.0242428207652018,0.0,0.0,80.36159689615067,19.80058117237344,230.95991160649783,0.0,0.0493928735220728,0.0,0.0089929538660522
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-83.28,-77.388447,38.7819267,-172.0192407808875,94.1492203110544,1098.546496924728,0.2907296249118447,0.13408501344297,0.0202344441267279,0.0027131357127432,0.0,0.0,13.372070133325764,19.706570943106357,230.95365211520496,0.0,0.0480651892895266,0.0,0.0009725723871195
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-173.76,-77.388447,38.7819267,-172.0192407808875,94.1492203110544,1098.546496924728,0.2907296249118447,0.13408501344297,0.0202344441267279,0.0027131357127432,0.0,0.0,13.372070133325764,19.706570943106357,230.95365211520496,0.0,0.0480651892895266,0.0,0.0009725723871195
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-6.67,-77.1803039,40.1046605,-64.24985352964232,98.00405552428836,1098.884461158782,0.6853012887535743,0.1394459032014963,0.0476961735202028,0.0066510359957799,0.0,0.0,16.372763379350946,20.054038437649968,230.97890859364443,0.0,0.0492666662881253,0.0,0.0023498314640403
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-8.08,-77.1803039,40.1046605,-64.24985352964232,98.00405552428836,1098.884461158782,0.6853012887535743,0.1394459032014963,0.0476961735202028,0.0066510359957799,0.0,0.0,16.372763379350946,20.054038437649968,230.97890859364443,0.0,0.0492666662881253,0.0,0.0023498314640403
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-9.91,-77.1803039,40.1046605,-64.24985352964232,98.00405552428836,1098.884461158782,0.6853012887535743,0.1394459032014963,0.0476961735202028,0.0066510359957799,0.0,0.0,16.372763379350946,20.054038437649968,230.97890859364443,0.0,0.0492666662881253,0.0,0.0023498314640403
CM_004-1,-73.19778,42.72306,14.89,6.5,11.31,111.85,-7.22,-73.19778,42.72306,-60.00274799981753,98.14057995792032,1098.8965775465103,0.5905678435957422,0.1396791094323964,0.041102835797706,0.0057412074993695,0.0,0.0,14.850225490187183,19.98541173198115,230.9733196801364,0.0,0.0494173492409457,0.0,0.0020311931914084
CM_004-2,-73.19778,42.72306,14.89,6.5,11.31,111.85,-17.87,-73.19778,42.72306,-60.00274799981753,98.14057995792032,1098.8965775465103,0.5905678435957422,0.1396791094323964,0.041102835797706,0.0057412074993695,0.0,0.0,14.850225490187183,19.98541173198115,230.9733196801364,0.0,0.0494173492409457,0.0,0.0020311931914084
CM_004-3,-73.19778,42.72306,14.89,6.5,11.31,111.85,-9.84,-73.19778,42.72306,-60.00274799981753,98.14057995792032,1098.8965775465103,0.5905678435957422,0.1396791094323964,0.041102835797706,0.0057412074993695,0.0,0.0,14.850225490187183,19.98541173198115,230.9733196801364,0.0,0.0494173492409457,0.0,0.0020311931914084
CM_005-1,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.16,-122.58061,48.81862,-69.44272845132329,97.81016222005884,1098.866985123261,2.4076000527543298,0.1392171023663918,0.1675661665430088,0.0233280761607618,0.0,0.0,20.393685083996225,20.177412797341315,230.99071334586895,0.0,0.0494507768838171,0.0,0.0082862771149948
CM_005-2,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.8,-122.58061,48.81862,-69.44272845132329,97.81016222005884,1098.866985123261,2.4076000527543298,0.1392171023663918,0.1675661665430088,0.0233280761607618,0.0,0.0,20.393685083996225,20.177412797341315,230.99071334586895,0.0,0.0494507768838171,0.0,0.0082862771149948
CM_005-3,-122.58061,48.81862,5.31,6.3,11.04,87.15,-2.56,-122.58061,48.81862,-69.44272845132329,97.81016222005884,1098.866985123261,2.4076000527543298,0.1392171023663918,0.1675661665430088,0.0233280761607618,0.0,0.0,20.393685083996225,20.177412797341315,230.99071334586895,0.0,0.0494507768838171,0.0,0.0082862771149948
CM_006-1,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-3657.26,-119.8217832,38.9745676,-3101.3753328394805,299.4922755278164,1136.078144525373,5.295852185223398,0.4301522841973138,0.3685851594167794,0.1585477482443587,0.0,0.0,695.7055354043955,94.81751067258384,242.00515051560237,0.0,0.1820477928632572,0.0,0.0671001147539765
CM_006-2,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2199.18,-119.8217832,38.9745676,-3101.3753328394805,299.4922755278164,1136.078144525373,5.295852185223398,0.4301522841973138,0.3685851594167794,0.1585477482443587,0.0,0.0,695.7055354043955,94.81751067258384,242.00515051560237,0.0,0.1820477928632572,0.0,0.0671001147539765
CM_006-3,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2196.81,-119.8217832,38.9745676,-3101.3753328394805,299.4922755278164,1136.078144525373,5.295852185223398,0.4301522841973138,0.3685851594167794,0.1585477482443587,0.0,0.0,695.7055354043955,94.81751067258384,242.00515051560237,0.0,0.1820477928632572,0.0,0.0671001147539765
CM_007-1,-121.580361,39.007299,13.15,6.5,10.53,100.23,-2.13,-121.580361,39.007299,-64.75740578931757,97.96829061440438,1098.8807956932535,4.755509926711158,0.1395430841997204,0.3309779659892394,0.0461856861762886,0.0,0.0,17.477150695610273,20.13746210245569,230.98868448267072,0.0,0.0497088069119851,0.0,0.0164525198034806
CM_007-2,-121.580361,39.007299,13.15,6.5,10.53,100.23,-1.78,-121.580361,39.007299,-64.75740578931757,97.96829061440438,1098.8807956932535,4.755509926711158,0.1395430841997204,0.3309779659892394,0.0461856861762886,0.0,0.0,17.477150695610273,20.13746210245569,230.98868448267072,0.0,0.0497088069119851,0.0,0.0164525198034806
CM_007-3,-121.580361,39.007299,13.15,6.5,10.53,100.23,-6.94,-121.580361,39.007299,-64.75740578931757,97.96829061440438,1098.8807956932535,4.755509926711158,0.1395430841997204,0.3309779659892394,0.0461856861762886,0.0,0.0,17.477150695610273,20.13746210245569,230.98868448267072,0.0,0.0497088069119851,0.0,0.0164525198034806
CM_008-1,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2719.07,-117.611779,33.94849,-3094.619155272821,296.51100190570145,1135.2578088090822,4.051127998451308,0.4221078575538793,0.28195380212712,0.119014915345049,0.0,0.0,336.0867854491574,69.33963687624444,233.4097854888747,0.0,0.1627404069937191,0.0,0.045885276511594
CM_008-2,-117.611779,33.94849,29.98,9.5,18.88,249.65,-3664.98,-117.611779,33.94849,-3094.619155272821,296.51100190570145,1135.2578088090822,4.051127998451308,0.4221078575538793,0.28195380212712,0.119014915345049,0.0,0.0,336.0867854491574,69.33963687624444,233.4097854888747,0.0,0.1627404069937191,0.0,0.045885276511594
CM_008-3,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2756.74,-117.611779,33.94849,-3094.619155272821,296.51100190570145,1135.2578088090822,4.051127998451308,0.4221078575538793,0.28195380212712,0.119014915345049,0.0,0.0,336.0867854491574,69.33963687624444,233.4097854888747,0.0,0.1627404069937191,0.0,0.045885276511594
CM_009-1,-121.10824,37.7323106,16.62,6.25,9.35,95.97,-16.93,-121.10824,37.7323106,-80.037580567717,97.36340922048385,1098.8271983416455,5.048527769148852,0.1386289509800283,0.3513716673973354,0.0487102856553959,0.0,0.0,18.68860658842817,19.97252764228026,230.9734952874952,0.0,0.0493284233455408,0.0,0.0173326103610043
CM_009-2,-121.10824,37.7323106,16.62,6.25,9.35,95.97,-15.64,-121.10824,37.7323106,-80.037580567717,97.36340922048385,1098.8271983416455,5.048527769148852,0.1386289509800283,0.3513716673973354,0.0487102856553959,0.0,0.0,18.68860658842817,19.97252764228026,230.9734952874952,0.0,0.0493284233455408,0.0,0.0173326103610043
CM_009-3,-121.10824,37.7323106,16.62,6.25,9.35,95.97,-13.12,-121.10824,37.7323106,-80.037580567717,97.36340922048385,1098.8271983416455,5.048527769148852,0.1386289509800283,0.3513716673973354,0.0487102856553959,0.0,0.0,18.68860658842817,19.97252764228026,230.9734952874952,0.0,0.0493284233455408,0.0,0.0173326103610043
CM_010-1,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-6.64,-79.8466751,33.666607,-97.52744951029077,96.70522297677536,1098.7687452674013,3.2266979244234704,0.137707430871975,0.2245744267904347,0.0309255673528571,0.0,0.0,26.038963572667985,20.20842601634094,230.9957519259856,0.0,0.049210977655116,0.0,0.0110515270986945
