Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std,Sample_ID
-79.1226984845,35.77278906,-180.956954284,115.221361407,1145.03717323,0.0196910124881,0.194528265069,0.00135222500465,0.000263045984137,0,0,89.3398133741,41.0670225903,351.239170682,0,0.0472923708192,0,6.39499263507e-05,103191
-94.1813773075,36.6230937984,-543.761374423,112.248262016,1144.74945072,0.0335566820456,0.193392256205,0.00230441093684,0.000445655230298,0,0,306.661130936,33.8298343737,350.439017504,0,0.0512760217147,0,0.000118161025237,102183
-71.514167281,42.8933420742,-128.253229636,116.491292915,1145.15723052,0.0408673214246,0.197762070774,0.00280644857326,0.000555009081369,0,0,32.5060533772,39.6213669955,351.103627201,0,0.0498566359564,0,0.000139920084847,100025
-79.4059366209,39.5105649203,-171.630714066,114.906586507,1144.99881097,0.0433688914091,0.195516534506,0.00297823686937,0.000582294551636,0,0,81.9137984043,38.1737739712,350.937055091,0,0.0513754193045,0,0.000153008167952,101120
-77.4307825305,38.5686260993,-193.269671726,114.387655926,1144.9503847,0.0565709704339,0.193633552018,0.00388485258461,0.000752237805025,0,0,81.4935063438,40.0556099201,351.13393179,0,0.0473294171159,0,0.000183867808411,100600
-79.1103381165,40.8397782942,-235.047983875,113.381840008,1144.84614528,0.0625452396191,0.192543716295,0.00429511874952,0.00082699812596,0,0,124.497212746,38.1719409509,350.939228355,0,0.0493249209547,0,0.000211856392811,101081
-72.0394479844,42.589443982,-200.312025523,114.599297003,1144.97445762,0.0825370687142,0.193771430441,0.00566800149018,0.00109829675649,0,0,113.037688443,40.6328399741,351.189708696,0,0.0474878192147,0,0.000269161030074,100079
-74.6180179748,40.3686904413,-182.347494394,114.69897313,1144.9789082,0.0894042796952,0.194298516851,0.00613958792619,0.00119291282813,0,0,110.787591066,39.10631641,351.036406719,0,0.0472771930723,0,0.000290262483771,100257
-75.1729853127,41.477361937,-264.187266256,120.460847241,1145.61647162,0.0882735800599,0.201505902791,0.00606194030291,0.00122151675341,0,0,389.818934147,43.64702898,351.404558975,0,0.0457612661124,0,0.000277402063359,100296
-83.1767086079,36.618893891,-230.06085518,112.428011368,1144.74934218,0.0961004089087,0.191313392628,0.00659942580209,0.00126255853959,0,0,67.0732244455,36.8464902,350.807439954,0,0.04916896968,0,0.000324486967169,101264
-80.2059299151,40.0234068447,-185.18776389,114.482386364,1144.95778422,0.095032997016,0.194518807854,0.00652612428687,0.00126945391619,0,0,45.1443173482,39.445327543,351.072333137,0,0.0506570658899,0,0.000330594308006,101109
-86.1351997157,35.422818282,-180.177730361,114.940802814,1145.00591215,0.0964162300449,0.194241180894,0.00662111393202,0.00128609298899,0,0,91.1051030319,40.4255665498,351.175847437,0,0.0465897402238,0,0.000308475978085,101317
-73.9140263065,41.8001016617,-280.96999674,111.44956074,1144.65464166,0.10679912384,0.19019674524,0.00733413001585,0.00139492765818,0,0,135.529702013,35.3186613267,350.646701154,0,0.0490332223649,0,0.00035961602792,103111
-91.0147004764,36.993448762,-429.175219083,111.238914831,1144.63707137,0.110029735372,0.188790611839,0.00755598319359,0.00142649869016,0,0,256.578435382,37.0466090074,350.814373653,0,0.047290782094,0,0.000357328354714,102157
-79.8103638084,39.5146744106,-191.672481608,114.394561406,1144.94841582,0.109179059847,0.194254767841,0.00749756543995,0.00145643783391,0,0,69.5254071932,39.0701015214,351.032511168,0,0.0501395046086,0,0.00037592421693,103605
-71.6311427616,42.3273972203,-179.914415364,114.780728424,1144.98798828,0.109671597707,0.194891452953,0.00753138909486,0.00146780336346,0,0,66.6965387155,39.4746870275,351.074419617,0,0.0501164385193,0,0.000377446398538,100030
-91.0982012264,37.4938527774,-195.594591583,113.868155913,1144.89437468,0.115460797504,0.193210774455,0.00792894613904,0.00153195782413,0,0,35.3891647145,38.9910278829,351.029395965,0,0.0486119053172,0,0.000385441178976,102140
-71.7109029692,42.2303806253,-189.67774637,114.397431248,1144.94899794,0.115339919626,0.19383399805,0.00792064519015,0.00153529032435,0,0,111.343759041,39.0602342307,351.030342566,0,0.0472086285141,0,0.000373922796374,100046
-74.9533349535,40.9808415929,-300.495031753,111.023907689,1144.61131559,0.121665763721,0.189280025169,0.00835505477499,0.0015814449781,0,0,167.127344177,35.1155694484,350.633414688,0,0.0465524120314,0,0.00038894795243,100328
-82.2389713643,36.5354166411,-197.298109664,114.19855174,1144.93132611,0.128791981187,0.193575745953,0.00884442775427,0.00171206670006,0,0,55.642965056,40.1255299499,351.142571897,0,0.0497296130116,0,0.000439829969529,101234
-73.7396750721,42.0144464324,-126.426309979,117.115430375,1145.22775924,0.130150766289,0.198699422107,0.00893773850665,0.00177592347621,0,0,36.4937153236,41.3299440155,351.275653882,0,0.0513614501299,0,0.000459055210583,103109
-70.7435056312,43.3151044661,-165.094458472,115.845665622,1145.1002199,0.139778450261,0.195756452125,0.00959889267591,0.00187904517457,0,0,107.774269715,41.109277002,351.243908904,0,0.0474405816041,0,0.0004553770513,100017
-75.0771232948,40.1395509563,-460.823829616,113.133027813,1144.83622823,0.158503182343,0.193658061941,0.0108847610863,0.00210792173667,0,0,318.098674353,36.6442029253,350.723039697,0,0.0494803070113,0,0.000538581320295,100360
-78.6354192332,37.4145907428,-170.644422488,115.449074234,1145.05857858,0.159863420085,0.195220500324,0.0109781715947,0.00214316415135,0,0,90.8305680992,40.8025726549,351.213895657,0,0.0475528618399,0,0.000522043477095,100607
