Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Respiration_Rate_mg_per_L_per_H_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Respiration_Rate_mg_per_L_per_H_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std,Sample_ID
-82.2389713643,36.5354166411,-12.6278437132,2.71700513318,22.9617402871,0.00388688669099,0.142651243697,0.000266165205969,3.79687976603e-05,0,0,2.41886448177,0.664607769918,4.4886375575,0,0.134963549266,0,3.59226008886e-05,101234
-79.9725965438,39.760747745,-6.29713675063,2.47076581427,22.9267237672,0.0322514976369,0.130827377091,0.00220850958461,0.000288933516235,0,0,1.12833034377,0.512964269897,4.50946997498,0,0.115964411461,0,0.000256108514184,101107
-71.3521754796,42.7816340779,-15.9170957567,3.3263026384,23.046804995,0.0515193859769,0.19557827395,0.00352793098182,0.000689986652038,0,0,2.93357157417,0.715012061781,4.46767826603,0,0.199236168338,0,0.000702891450978,102550
-91.3899381275,37.3475849153,-15.0441741556,3.16522039726,23.0239043456,0.0731038800855,0.184330373091,0.00500598830041,0.000922755691103,0,0,2.90383562302,0.793824462159,4.48212967571,0,0.182884596999,0,0.000915518152904,102150
-86.1351997157,35.422818282,-7.83974858196,2.39219485453,22.9184150627,0.116880548621,0.125656859241,0.00800371551085,0.00100572175335,0,0,2.05897169418,0.461706017743,4.50378234003,0,0.113501559647,0,0.000908434193457,101317
-91.0982012264,37.4938527774,-12.1151321338,2.63520186811,22.9489779066,0.10931076888,0.14302546071,0.00748535412186,0.00107059622186,0,0,2.18059075361,0.575983870763,4.49471677501,0,0.135967861477,0,0.00101776759235,102140
-71.7109029692,42.2303806253,-17.1883362569,3.66460134792,23.1044748175,0.0796103468114,0.210150994293,0.00545153642,0.00114564579909,0,0,2.56542701868,0.800608905651,4.44526852048,0,0.210068749318,0,0.00114519743761,100046
-75.1729853127,41.477361937,-9.57885158655,2.40147536923,22.9195436901,0.134547863277,0.128989912134,0.0092135332437,0.00118845284355,0,0,3.20935041099,0.477280476533,4.50451198097,0,0.122388798104,0,0.00112763325998,100296
-70.7435056312,43.3151044661,-15.3789947096,3.24420447712,23.0389713941,0.0973687906868,0.183836670391,0.0066675944756,0.00122574836791,0,0,2.85673524782,0.816312751191,4.46285123629,0,0.183334108368,0,0.00122239748814,100017
-73.9140263065,41.8001016617,-19.5251727143,4.28530971306,23.2271782114,0.0740018981485,0.258490860751,0.00506748254547,0.00130989792502,0,0,3.2948756651,1.1255149025,4.42180512183,0,0.25953657767,0,0.00131519707725,103111
