Sample_ID,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Respiration_Rate_mg_per_L_per_H_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Respiration_Rate_mg_per_L_per_H_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
100001,-67.9273612252,47.1601807342,-8.696392039285296,4.079120215022828,27.00811856986688,1.04403914209596,0.2019829759194162,0.0717911239655722,0.0145005848631659,0.0,0.0,2.1263364325751986,1.6561708583756949,9.565638765217765,0.0,0.168957173468387,0.0,0.0121296253853416
100002,-68.0024586084,46.8479089414,-9.088416304185884,4.442843736207935,27.079452239876517,1.6306178286744737,0.2149083508254853,0.1121259557796174,0.0240968042413288,0.0,0.0,3.663225242222452,1.6677499791902115,9.523498048326044,0.0,0.1842609888988736,0.0,0.0206604394931836
100003,-67.8319392853,46.7736187052,-9.620303779462631,4.416556422663657,27.072579529222963,1.7570869869528394,0.2185477249541309,0.1208223376044947,0.0264054470071022,0.0,0.0,3.3214224023797767,1.696690225701595,9.536725849792786,0.0,0.1915529061502633,0.0,0.0231438698960092
100004,-67.2980373631,45.1687180464,-10.010265786123512,4.286210314406225,27.05420388941976,1.2418327695818812,0.2092165426435511,0.0853919807322401,0.0178654149782839,0.0,0.0,3.1564288059223857,1.7374118676050183,9.535916112221097,0.0,0.186816848484003,0.0,0.0159526607262037
100005,-67.9355420529,44.6060839859,-10.666052194567351,4.075962064399333,27.01636495050688,0.8375041522586804,0.1886201563687856,0.0575891860680431,0.0108624812813053,0.0,0.0,2.9550463704110053,1.3451921992625222,9.489176008106458,0.0,0.1566774775518319,0.0,0.009022928407404
100006,-68.6437497835,45.2562592587,-10.005509155002091,4.0855767241644125,27.027086805813106,1.4481783309156562,0.1877058874485599,0.0995808929829046,0.0186919198902761,0.0,0.0,3.264291522337452,1.5029319631555853,9.483516443445936,0.0,0.1558753688243198,0.0,0.0155222084215653
100007,-68.6976688239,44.8272759862,-7.985355934556004,4.442863586488302,27.07820852874649,1.4447267020983523,0.2001181602484362,0.0993435490919383,0.0198804482768288,0.0,0.0,3.494726330536753,1.7806168375390183,9.547840484994683,0.0,0.1641065684561302,0.0,0.016302928939731
100008,-69.8848789022,45.0515545607,-7.7356650936259985,4.415488419111161,27.078125784048005,0.6607374128820878,0.1948691175993186,0.0454341983976589,0.0088537221505841,0.0,0.0,3.8824988042994857,1.7774281962129712,9.533385991604964,0.0,0.1631197129887124,0.0,0.0074112134024983
100009,-69.6814483853,44.4726905408,-6.157285960806509,4.629319461982851,27.118451961770194,1.2407037628673558,0.2115773769345726,0.0853143469944496,0.0180505857519715,0.0,0.0,3.353896637753436,2.191933512355931,9.604756510941124,0.0,0.1770414924208619,0.0,0.0151041793168086
100010,-70.9770838575,44.389592367,-3.3044475092746644,6.101338114487854,27.467884862904576,1.793130613859638,0.2737226495920959,0.1233008007033397,0.0337502218653451,0.0,0.0,4.935439595337717,3.529858844692055,9.811414938453598,0.0,0.2348721266847947,0.0,0.0289599212831314
100011,-70.2064326548,44.0731455038,-8.2962386356968,4.898404651871455,27.183450006235372,2.1028653037288705,0.233310442366144,0.1445990457789027,0.033736467336398,0.0,0.0,5.397324385330619,2.754224247189659,9.693269468945884,0.0,0.218484670867596,0.0,0.031592674924772
100013,-69.9744186896,43.918531399,-8.536449860559324,4.20729245527832,27.03298904480185,1.9875475349715983,0.2039514176610975,0.1366694654609977,0.0278739312317548,0.0,0.0,2.99024247081685,1.7393641314611883,9.56402969777506,0.0,0.175806294786431,0.0,0.0240273523331401
100014,-70.3019546667,43.7268608231,-10.118069798867724,4.189743752269141,27.02823043876905,0.9033409488973928,0.2032215772219984,0.0621163129145494,0.0126233750817098,0.0,0.0,2.657987628496569,1.3331022480620318,9.504974909331532,0.0,0.1671690293040002,0.0,0.0103839237338687
100015,-70.7813953823,43.8061260977,-5.433058727765984,4.748781404817599,27.141875600048888,1.2014850646133728,0.223374101442154,0.082617556888987,0.0184546225334234,0.0,0.0,3.031218777781068,2.373599149208526,9.6391577025783,0.0,0.1944433506727218,0.0,0.0160644345858888
100016,-70.8521447672,43.4072254227,-12.228739434851525,4.494570012495843,27.092823989761985,0.3233135054534553,0.2186359496274033,0.0222319633564268,0.0048607064205139,0.0,0.0,3.3632501055974084,1.793785586929529,9.53111184129386,0.0,0.1845931718732331,0.0,0.0041038686329322
100017,-70.7435056312,43.3151044661,-14.102990289890252,5.410341837988031,27.279329668431973,0.075779635110465,0.2619871993548784,0.0052108249192262,0.0013651694269166,0.0,0.0,3.949468464252349,2.7047915598892622,9.68252807962926,0.0,0.2281656744671813,0.0,0.0011889313822256
100018,-71.1021736139,43.2522405659,-10.310820528272355,4.059619587394975,27.00938897627186,0.5319896897648375,0.2038985091784876,0.0365811359233535,0.0074588390788273,0.0,0.0,2.633914835247371,1.502887056935323,9.527046680113305,0.0,0.1668613700303415,0.0,0.0061039784574368
100019,-70.8894448683,43.1802865919,-15.211302578229931,5.710371106030072,27.3817050518776,0.5867700155010924,0.2954639643538307,0.0403479881391725,0.0119213765293012,0.0,0.0,3.362872643255168,2.773337178918933,9.571645715931254,0.0,0.278567094674881,0.0,0.0112396218319058
100020,-71.2312026375,43.0816073977,-8.673256269727178,4.0932065097836565,27.013116725020247,0.6717060287440887,0.1975139063169417,0.0461884318639433,0.0091228576041013,0.0,0.0,2.4301761243698428,1.6407812369454746,9.553983858716965,0.0,0.1641973819922421,0.0,0.0075840195903865
100021,-71.0594449203,43.0980643491,-13.873004695819498,5.393066331490514,27.272993320424984,0.3702888063041271,0.2681568966124522,0.0254621196893784,0.0068278429970785,0.0,0.0,4.232497256307476,2.7282191966485403,9.698212751086896,0.0,0.2355451640151081,0.0,0.0059974791584069
100022,-71.527171193,43.2078545482,-9.36983079192394,4.505340363094485,27.086882891527523,1.986182236062998,0.2219558404357364,0.1365755835946525,0.0303137484397522,0.0,0.0,3.9396517716714334,2.264823599229783,9.655009412073277,0.0,0.2019442010442848,0.0,0.027580647111179
100023,-71.3479227542,43.2227657814,-6.35314264826261,4.710157807556997,27.132016573897324,1.158537709953166,0.2325848468459543,0.0796643736814929,0.0185287261517888,0.0,0.0,2.252356830200511,2.5981031590116683,9.70660284724125,0.0,0.192199077296207,0.0,0.0153114191149631
100024,-71.5018674879,43.0229070829,-10.69794724239264,4.071128761462669,27.009553077902503,0.3209777240033765,0.1975540255243974,0.0220713483288116,0.0043602837111078,0.0,0.0,3.0205657528986163,1.3340723214655008,9.50683039303966,0.0,0.1630843779629145,0.0,0.003599492113007
100025,-71.514167281,42.8933420742,-14.988326898861796,5.853404645610072,27.36523626590129,0.0061101400442367,0.2867092396760894,0.0004201507430863,0.0001204611000995,0.0,0.0,4.000531057344185,2.861975071868471,9.74451053213956,0.0,0.2551488197450081,0.0,0.0001072009662134
100026,-71.4705561494,42.7933420569,-9.750037506835104,4.310597963795209,27.05126866669466,0.7038261895130149,0.2052119424438274,0.0483971061852209,0.0099316641689293,0.0,0.0,2.9343266871324056,1.60260493487036,9.533774020686012,0.0,0.1646137663009541,0.0,0.0079668299272164
100027,-71.7895840108,42.4104253072,-8.95408393862979,3.8699237462698135,26.97507762030026,0.4393798556841213,0.1896111904612352,0.0302130182821198,0.0057287263638997,0.0,0.0,2.617804343533075,1.4662617815015109,9.541626005960286,0.0,0.1559821764270836,0.0,0.0047126923480763
100028,-71.4022227837,42.6177864704,-15.09571735678692,5.782038865574576,27.34590362505848,0.7384558014224731,0.2865391161160613,0.0507783375598231,0.0145499799622346,0.0,0.0,2.841569493508569,2.479553688842118,9.652220926969646,0.0,0.249883602334946,0.0,0.0126886739100284
100029,-71.3729172203,42.6395920302,-8.138716011306462,4.819053398990695,27.1696205100086,2.6143097567564983,0.2161979896591137,0.1797674323348887,0.0388653574769836,0.0,0.0,5.176673168949986,2.2143244707744763,9.55276820278705,0.0,0.1808262458992314,0.0,0.032506669924062
100030,-71.6311427616,42.3273972203,-17.094368055731003,7.068729166599264,27.65810506527855,0.0832676348114882,0.3540307871478941,0.0057257212417061,0.0020270815981906,0.0,0.0,3.76097623333402,3.4208668272475697,9.900066712231151,0.0,0.3119779256923504,0.0,0.00178629863608
100031,-71.4852783566,42.4266753195,-15.104689243109275,5.777010056110376,27.34864581457016,0.5011862570510877,0.2835343771936828,0.0344630035973198,0.0097714462611896,0.0,0.0,3.3835285110457405,2.6093080829819613,9.674421764216529,0.0,0.2434068214107065,0.0,0.0083885301618893
100032,-71.4427783441,42.4594531053,-15.366477349113524,5.9506359456616895,27.38635092701692,0.2080506879819002,0.2878836227160236,0.014306161646436,0.0041185096419369,0.0,0.0,3.6181418721282257,2.729097887332252,9.705838136187918,0.0,0.2459804276857389,0.0,0.0035190357603316
100033,-71.4646272019,42.2604393318,-15.174889947193012,5.921144986094043,27.37428973403383,0.4789567589611266,0.2983168747432998,0.0329344395916973,0.0098248990904171,0.0,0.0,3.982075764522696,2.867269265129791,9.76326817782018,0.0,0.2591020652286321,0.0,0.0085333813153564
100034,-71.2979171961,42.6479253679,-8.152427361581868,4.649591324125374,27.120464625062997,2.27660041475635,0.2157909033939826,0.1565455699943711,0.0337811099714112,0.0,0.0,4.317580536004304,2.0204536776853184,9.571662080318552,0.0,0.1842973605628593,0.0,0.0288509353577709
100035,-71.0270868187,42.5729253616,-14.134359120046682,5.470343598692217,27.302951368431213,0.6290058069846635,0.273073659153359,0.0432522422230701,0.0118110480504411,0.0,0.0,3.300051371414076,2.781660757976109,9.667776620097,0.0,0.2529751460664586,0.0,0.0109417422940829
100036,-71.0104170913,42.4729253424,-13.534043860702855,4.868324655404315,27.167795420446986,0.7981302075221495,0.2440616256624114,0.0548817207694537,0.0133945219901433,0.0,0.0,2.747804343223605,1.5162298106754792,9.449425039563366,0.0,0.2023581661768681,0.0,0.0111057643715375
100037,-71.1354171316,42.4645920047,-13.067941295026593,4.962119943973863,27.209106096812643,0.2155027337775031,0.2507859870023907,0.0148185856753237,0.0037162936345655,0.0,0.0,3.5484554958378745,2.451617025735989,9.567218271553994,0.0,0.2369245886409422,0.0,0.0035108873153666
100038,-71.260559577,42.2562586274,-13.344319614259092,4.754091980603419,27.131299205513443,0.6214471376607992,0.2313710094136927,0.0427324864547615,0.009887058525795,0.0,0.0,3.1247042107078937,1.714147382597159,9.534755186958876,0.0,0.1970817766650392,0.0,0.0084217943518191
100039,-71.1895838111,42.3645919834,-12.312959177650033,4.4335536465898056,27.09242497040736,2.129032767429938,0.2440536103983662,0.1463983955874325,0.0357290569996411,0.0,0.0,2.0255852548881514,1.272179084445599,9.416028800996868,0.0,0.2098396310405756,0.0,0.030720185314999
100040,-71.2020838041,42.1770919469,-16.920274471281225,7.061541656624826,27.669678484093076,0.7094190826373131,0.3765338240963561,0.0487816895474947,0.0183679561111994,0.0,0.0,3.2147160067730804,3.802065235539943,9.99701782907558,0.0,0.3396397355542587,0.0,0.016568200137801
100041,-71.1564535604,42.1602584265,-14.83547182292072,5.8851370951258,27.37448557765188,1.040767251387723,0.3041898988635437,0.0715661393821731,0.0217696967007174,0.0,0.0,3.019786814553396,2.7982630649861733,9.718342466843474,0.0,0.2648642105146311,0.0,0.0189553090070393
100042,-70.9971810022,42.2193253114,-15.979827103605516,6.463039906232591,27.5338132017063,0.7477491992720685,0.3350101471752463,0.0514173782338559,0.0172253434494893,0.0,0.0,3.013868502382941,3.5678381932441168,9.876935734966183,0.0,0.3059021518316114,0.0,0.0157286866432763
100043,-70.9727784362,42.0354548202,-17.27880514693685,6.955058266041819,27.63994941373345,0.6051244714902456,0.3380473791998797,0.041610093142815,0.0140661829351914,0.0,0.0,4.243261828418988,3.2324785319940146,9.80317371096096,0.0,0.3064956996629298,0.0,0.0127533146108467
100044,-71.1604171117,41.9479252379,-17.548970696486503,7.352954865865016,27.741924466759645,0.4243057715921733,0.3536753822745357,0.0291764810527398,0.0103190030897534,0.0,0.0,4.557101745343006,3.572681084077352,9.923101720405104,0.0,0.3192167637613264,0.0,0.0093136218595992
100045,-71.8228774785,42.2403833181,-15.197706953209243,5.94464309740706,27.39349234265232,0.4645232081864339,0.3003569289850266,0.0319419472691881,0.0095939851875749,0.0,0.0,3.3645006089504585,2.7578976622405165,9.687488730596172,0.0,0.2492194308980383,0.0,0.0079605539202022
100046,-71.7109029692,42.2303806253,-15.675836222911826,6.203493532234555,27.441011272763284,0.1000865830357829,0.3146298479211719,0.0068822403301733,0.0021653582284393,0.0,0.0,3.358098690370758,3.112751592801632,9.8249381273499,0.0,0.2772674801582579,0.0,0.0019082214341906
100047,-71.5686511415,42.0225263081,-9.467170133608208,4.044080810832741,27.0048402328612,0.7415923503245081,0.2000300230771499,0.0509940156526942,0.0102003341278049,0.0,0.0,2.05612523950978,1.5441753821157025,9.540624203564672,0.0,0.1668441689604438,0.0,0.0085080541635296
100048,-71.514113889,42.0398117445,-13.33643114304276,4.990284313191253,27.190960758028588,1.0041497956227603,0.2485865216617832,0.0690482181662608,0.0171644563808946,0.0,0.0,2.970506059202254,2.1202760262276352,9.561644424407454,0.0,0.2103649956484116,0.0,0.014525328114076
100049,-71.4685430862,41.973221725,-10.527060011780575,3.882634366696068,26.978000119902305,1.0079290183226597,0.1938414247540371,0.0693080883515848,0.0134347785930498,0.0,0.0,1.4001782268791858,1.2800432142034743,9.511335602301076,0.0,0.1567909217074835,0.0,0.0108668790544286
100050,-71.8354173025,41.3827403282,-12.433573152780564,4.366450837172595,27.067890518570977,1.1394956914821506,0.2098376387504456,0.0783549899108204,0.0164418260672015,0.0,0.0,2.3624637847799943,1.1674735241620966,9.44597659777796,0.0,0.1692785369970566,0.0,0.0132638180585227
100051,-72.3103969518,41.8353842266,-8.710093807358062,4.037890487538614,27.00492639698985,0.5996500077147124,0.1971227534995893,0.0412336533220193,0.0081280912796838,0.0,0.0,2.618816892465448,1.7555010496780197,9.573925883868585,0.0,0.1666936303453503,0.0,0.0068733873646489
100052,-72.1645840928,41.6812584889,-8.686308164481709,3.7802238063132863,26.96147710231501,0.8452888430694333,0.1873470242484779,0.0581244837216411,0.0108894490612285,0.0,0.0,1.378238615255097,1.4273952090090944,9.538488791558992,0.0,0.1545766823595452,0.0,0.0089846898575526
100053,-71.9521896582,42.0230114781,-10.87279376499003,4.050891573167366,27.00873980167352,0.3914837180496831,0.2017644393754667,0.0269195425724993,0.0054314064153843,0.0,0.0,2.8838444268779133,1.6269619403046631,9.545326792913944,0.0,0.1806647041809907,0.0,0.0048634111955481
100054,-71.9019858951,41.9770770293,-13.247966288344818,4.738177648864253,27.1271457480592,0.2249762324274117,0.2313820342101028,0.0154700105966134,0.0035794825210962,0.0,0.0,3.0407926958680607,1.8009963941678793,9.555071714877672,0.0,0.209278927255877,0.0,0.0032375472222962
100056,-71.985417363,41.5950399657,-10.961629406550143,4.0258880881675685,27.00604141500604,0.9356448093698868,0.1933961152164023,0.0643376189539873,0.0124426455679743,0.0,0.0,2.037761118549192,1.2135770825715606,9.480326419232057,0.0,0.1561598696271477,0.0,0.0100469541879757
100057,-72.2071738603,41.5732498469,-9.50682825064734,3.9315708644539127,26.990254824049032,0.7039619507225389,0.1865486406754392,0.0484064415151235,0.0090301558645814,0.0,0.0,2.566381095335046,1.395476822954414,9.511276916529573,0.0,0.1527195642541978,0.0,0.0073926106552859
100058,-72.131527346,41.573924256,-9.774233470442056,4.249258613820494,27.051073997488828,0.6260056529848418,0.196213100662722,0.0430459430346272,0.008446177953775,0.0,0.0,4.006989005703877,1.5082852550494112,9.48829466245909,0.0,0.1562313846555604,0.0,0.0067251272841041
100059,-71.6274981483,44.7561648743,-5.829958063794511,4.5052702104432445,27.08503741442725,0.5639602826848775,0.2278817966140932,0.0387795255306318,0.0088371479497624,0.0,0.0,0.9207844994906228,2.2867020524080868,9.66587636421468,0.0,0.1958449191322396,0.0,0.0075947730415332
100060,-71.720644584,44.4100681497,-5.691013625797472,4.459426935575298,27.071667125425325,1.2887637277828048,0.223584415826838,0.0886190879374946,0.0198138470076119,0.0,0.0,1.2701204605753555,2.026157172803804,9.625662745803131,0.0,0.1867776305224882,0.0,0.0165520632640292
100061,-71.8350039595,44.5144766393,-7.749773921331721,4.109343142140606,27.01711938818018,0.6584309256751802,0.2072804243697554,0.0452755977261709,0.009384745110275,0.0,0.0,1.6982017195930474,1.999820354245728,9.61730211946968,0.0,0.1728611878328902,0.0,0.00782639360279
100062,-72.0395311954,44.4351188877,-6.578305688784778,4.5325168644965945,27.09340131995031,1.020383924026424,0.2220881303216544,0.0701645233675779,0.0155827078096153,0.0,0.0,2.1302157313102588,2.316966613024683,9.66119101369428,0.0,0.1824388740240211,0.0,0.012800736639613
100063,-72.0392621934,44.365623701,-5.90200665445627,4.449254697393672,27.07782623935565,0.6224797360049635,0.2290070546436025,0.0428034908766683,0.00980230137413,0.0,0.0,1.5903294553889633,2.245890060046368,9.649913596712176,0.0,0.1913266471517837,0.0,0.0081894483958249
100064,-71.6274026293,44.268683095,-8.221528818317173,4.151215592533957,27.02283405885681,0.9304521855221836,0.1943779705270078,0.0639805592544739,0.0124364112610675,0.0,0.0,2.4000193549457727,1.6595913415374792,9.55450941379311,0.0,0.156459004383514,0.0,0.0100103346008554
100065,-71.9851717969,44.1566503267,-7.003783293128682,4.177403867405145,27.03120505341908,0.3408061350217578,0.2112229245381094,0.0234348067050974,0.0049499684082359,0.0,0.0,1.1886377547297071,2.1468346176966864,9.637576985830163,0.0,0.1806121740128362,0.0,0.0042326113865782
100066,-72.0395841984,44.1562589587,-2.90689369053872,5.686541105640922,27.31355254413824,1.304926800160065,0.2718167868934076,0.0897305071227666,0.0243902581324264,0.0,0.0,2.344972189308581,2.375252465900211,9.664722490484309,0.0,0.2157336857816238,0.0,0.0193578930286486
100067,-72.0643015915,44.1522482693,-8.302003619797258,4.012341647954071,27.001206895371823,0.4446610887804733,0.2000392856817886,0.0305761710075532,0.0061164354072351,0.0,0.0,1.582337048376865,1.8629007968931524,9.59392208390432,0.0,0.1694283879221345,0.0,0.0051804713626412
100068,-72.4181499338,43.7142450081,-5.404130928597623,4.829737628989385,27.144968487658787,0.3322449697341194,0.2428755866136713,0.0228461164408409,0.0055487639324134,0.0,0.0,1.3137081465529077,2.5362578942986094,9.715298976761355,0.0,0.2054167098385839,0.0,0.0046929740718667
100069,-72.3147646132,43.6465248655,-5.873779401433701,4.39590636692108,27.05964976270362,1.6720967162643912,0.2171722692858496,0.1149781629822552,0.0249700685731746,0.0,0.0,1.4187062898241347,1.9931172088879283,9.623844681975742,0.0,0.1845267731319923,0.0,0.0212165493957598
