Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Respiration_Rate_mg_DO_per_L_per_H_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Respiration_Rate_mg_DO_per_L_per_H_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std,Sample_ID
-79.6031055582,39.6439783973,-21.1439618832,23.1680708343,110.946871994,0.0199500626217,0.120410696427,0.00134306272395,0.000161719117936,0,0,15.0281624469,15.9157702645,68.2650522765,0,0.118938077653,0,0.000159741298553,103632
-75.200871175,41.4802444592,-21.9382656357,23.2903165853,110.913181584,0.027640446811,0.124778199183,0.00186078883505,0.000232185879897,0,0,13.320519867,14.5919892471,68.0760399123,0,0.119609728261,0,0.000222568446911,100295
-75.3399053315,41.3362067423,-21.6531398865,24.6428332805,111.318360009,0.0474111594421,0.126036217215,0.00319177749731,0.000402279561954,0,0,14.1648607975,17.2276020689,68.4850118158,0,0.119791510692,0,0.000382347848194,100297
-79.4643644298,39.3644143022,-21.5735205268,22.4741940651,110.682177977,0.0539012602922,0.11811275895,0.0036286990595,0.000428595657316,0,0,12.7809343279,13.9834650692,68.0612665123,0,0.116090836131,0,0.000421258707886,101115
-72.5854805586,43.8809085789,-24.6431560561,23.1607687411,110.937020005,0.0682708676065,0.126794889988,0.00459607867667,0.000582759290186,0,0,14.9314051868,12.9666541575,67.653475442,0,0.118350200074,0,0.000543946830938,104155
-79.2479559839,40.1935180808,-23.6145802804,21.8829294811,110.590818153,0.0748558729118,0.117363455282,0.00503938932337,0.000591440143504,0,0,13.7119863373,11.5819546971,67.5593155553,0,0.114213759647,0,0.000575567600949,101093
-90.9932932957,37.6020946454,-21.7014054442,22.6704534711,110.754123204,0.0732056889018,0.122033989364,0.0049282969086,0.000601419732529,0,0,13.8632551956,14.0328834495,68.0137016126,0,0.118687420713,0,0.000584926848592,102146
-75.8301824111,40.2392164166,-23.5604651533,23.3016905724,110.907970127,0.0829095619137,0.124991632751,0.00558157356078,0.000697649992681,0,0,14.7286139051,13.4224242607,67.8487716083,0,0.117273765819,0,0.000654572150668,100369
-80.1940163281,39.3937348706,-24.6801865421,22.6766263894,110.77904704,0.0881073205992,0.122597267222,0.00593149306083,0.000727184839801,0,0,14.630654054,11.7414848639,67.5350303984,0,0.115932188672,0,0.000687650972635,103582
-78.1272318171,40.3220294054,-29.2838007838,22.2941591318,110.895627252,0.0869819865963,0.127529637941,0.0058557341933,0.000746779661553,0,0,19.8409226784,10.1382767711,66.9184373739,0,0.120047528429,0,0.00070296641704,103892
