Sample_ID,Mg_wt_percent,Al_wt_percent,Si_wt_percent,P_wt_percent,S_wt_percent,Ca_wt_percent,Mn_wt_percent,Fe_wt_percent,Cu_wt_percent,W_wt_percent,Hg_wt_percent
S19S_0076-D,0,0,58.665,4.722,0,14.435,0.301,21.465,0.412,0,0
S19S_0078-D,0,0,56.298,3.939,0,9.785,0.404,29.087,0.488,0,0
S19S_0089-D,0,0,51.252,2.77,0,26.484,0.24,18.857,0.397,0,0
S19S_0034-U,0,0,69.66,4.599,0,14.184,0.563,10.534,0.461,0,0
S19S_0077-U,0,0.435,57.232,2.67,0,12.04,0.269,26.893,0.461,0,0
S19S_0017-M,0,0.987,46.478,2.977,0,36.525,0.628,12.102,0.303,0,0
S19S_0096-M,0,0,68.879,7.069,0,14.334,0.089,9.214,0.415,0,0
S19S_0057-D,0,0,65.197,4.982,0,11.178,0.25,17.814,0.579,0,0
S19S_0032-M,0,0,67.989,7.417,0,15.277,0.301,8.577,0.439,0,0
S19S_0046-U,0,0,65.712,5.352,0,18.677,0.164,9.684,0.41,0,0
S19S_0089-M,0,0,46.686,2.522,0,29.065,0.464,20.907,0.355,0,0
S19S_0044-D,0,0,70.979,6.119,0,14.399,0.205,7.866,0.432,0,0
S19S_0091-M,0,0,57.454,4.898,0,18.835,0.342,18.084,0.387,0,0
S19S_0079-U,0,0,55.917,4.198,0,13.035,0.372,26.012,0.467,0,0
S19S_0092-M,0,0,49.027,3.63,0,8.771,0.521,37.546,0.505,0,0
S19S_0078-M,0,0,66.389,7.902,0,12.044,0.109,13.144,0.412,0,0
S19S_0032-U,0.426,0,64.419,7.022,0,12.878,0.251,14.565,0.438,0,0
S19S_0076-M,0,0,54.76,4.02,0,14.351,0.299,26.073,0.496,0,0
S19S_0032-D,0,1.723,56.222,4.361,0,11.888,0.587,24.735,0.484,0,0
S19S_0017-D,0,0,51.984,3.156,0,23.801,0.769,19.898,0.392,0,0
S19S_0017-U,0,0,49.429,3.032,0,30.689,0.724,15.803,0.324,0,0
S19S_0091-U,0,1.916,52.083,3.103,0,14.921,0.485,27.043,0.45,0,0
S19S_0096-D,0,0,59.336,5.009,0,13.619,0.324,21.203,0.509,0,0
S19S_0057-M,0,0.979,70.857,9.266,0,14.031,0.089,4.382,0.397,0,0
S19S_0089-U,0,0,51.29,4.467,0.11,24.902,0.325,18.562,0.343,0,0
S19S_0031-M,0,0,43.862,2.673,0,12.438,0.522,40.034,0.471,0,0
S19S_0082-U,0,0,52.755,2.643,0.016,8.107,0.112,34.313,0.56,0,1.494
S19S_0082-M,0.23,0,52.616,2.379,0,8.071,0.135,34.759,0.555,0,1.254
S19S_0094-M,0,0,55.326,2.912,0,9.848,0.563,30.816,0.534,0,0
S19S_0021-U,0.43,0,69.611,6.58,0,12.868,0.216,9.829,0.466,0,0
S19S_0100-D,0,0,55.954,3.173,0,18.107,0.264,22.088,0.414,0,0
S19S_0053-M,0,1.014,62.945,6.89,0,15.04,0.393,13.275,0.444,0,0
S19S_0031-D,0,0,44.747,2.811,0,11.478,0.558,39.956,0.45,0,0
S19S_0082-D,0,0,50.8,3.125,0.209,7.412,0.179,36.552,0.6,0,1.123
S19S_0053-D,0.911,1.156,62.803,4.981,0,12.918,0.357,16.423,0.452,0,0
S19S_0031-U,0,0,43.47,2.105,0,11.932,0.484,41.502,0.508,0,0
S19S_0098-U,0,0,68.564,7.741,0,19.445,0.054,3.762,0.435,0,0
S19S_0094-U,0,0,40.374,1.593,0,5.593,0.798,51.099,0.544,0,0
S19S_0083-M,0,0,56.031,4.301,0,16.744,0.684,21.823,0.417,0,0
S19S_0086-D,0,0.689,41.863,2.692,0,47.635,0.126,6.706,0.29,0,0
S19S_0094-D,0,0,58.893,4.432,0.026,9.502,0.366,26.302,0.479,0,0
S19S_0058-U,0.801,0.013,37.742,2.665,0,34.026,0.309,24.142,0.302,0,0
S19S_0086-M,0,0,34.662,2.161,0,57.28,0.166,5.469,0.262,0,0
S19S_0081-M,0,0.37,67.96,7.356,0,14.493,0.243,9.112,0.466,0,0
S19S_0083-D,0,0,57.832,4.914,0,21.379,0.488,14.997,0.39,0,0
S19S_0060-U,0,0,59.112,3.935,0,14.428,0.438,21.678,0.41,0,0
S19S_0052-M,0,0,55.614,3.664,0,8.974,0.971,30.245,0.532,0,0
S19S_0014-D,1.958,0,47.91,3.178,0,32.043,0.471,14.1,0.341,0,0
S19S_0080-M,0,0,67.191,4.933,0,20.604,0.133,6.726,0.412,0,0
S19S_0058-D,0,0,38.124,2.344,0,38.888,0.267,20.106,0.271,0,0
S19S_0099-M,0,0,42.068,2.748,0.147,51.061,0.16,3.535,0.282,0,0
S19S_0014-U,0,0,46.934,3.308,0,36.252,0.376,12.776,0.353,0,0
S19S_0021-M,3.061,0,68.547,5.267,0,12.024,0.227,10.423,0.452,0,0
S19S_0098-D,0,0,66.967,6.338,0,21.837,0.048,4.387,0.422,0,0
S19S_0060-M,0,0.736,51.283,3.088,0,14.309,0.428,29.697,0.458,0,0
S19S_0058-M,0,0,36.244,2.501,0.047,32.322,0.318,28.29,0.277,0,0
S19S_0052-D,0,0,59.552,3.102,0,8.969,0.848,26.997,0.533,0,0
S19S_0100-U,0,0,53.482,6.286,0,22.129,0.161,17.533,0.41,0,0
S19S_0014-M,0,0,50.139,3.413,0,32.685,0.315,13.117,0.331,0,0
S19S_0087-U,0,0,57.961,2.652,0,16.192,0.591,22.192,0.412,0,0
S19S_0060-D,0,0,53.354,2.295,0,13.151,0.478,30.301,0.421,0,0
S19S_0081-U,0,0,61.792,4.939,0,17.932,0.372,14.489,0.476,0,0
S19S_0099-D,0,0.818,41.515,3.604,0,48.341,0.193,5.239,0.29,0,0
S19S_0087-M,0,0,45.529,2.115,0,11.737,1.205,38.936,0.478,0,0
S19S_0080-D,0,0,68.388,6.853,0,18.325,0.1,5.926,0.408,0,0
S19S_0098-M,0,0,66.714,4.605,0,23.66,0.069,4.505,0.446,0,0
S19S_0100-M,0,0,52.66,5.527,0,21.351,0.192,19.88,0.39,0,0
S19S_0036-D,2.699,0,55.553,4.034,0,15.267,0.624,21.419,0.404,0,0
S19S_0087-D,0,0,49.54,2.267,0,15.084,0.539,32.093,0.478,0,0
S19S_0043-M,0,0,56.22,3.279,0,13.346,0.651,25.982,0.522,0,0
S19S_0099-U,0,0,37.09,2.118,0,53.881,0.186,6.421,0.304,0,0
S19S_0083-U,0,0,52.79,3.094,0,20.393,1.003,22.26,0.459,0,0
S19S_0021-D,0,0,69.082,4.087,0,11.732,0.338,14.309,0.452,0,0
S19S_0052-U,0,0,59.501,2.6,0,9.424,0.726,27.256,0.493,0,0
S19S_0086-U,0.777,0,42.832,1.529,0,46.484,0.146,7.911,0.3,0,0.021
S19S_0004-M,0,0,60.183,5.842,0,15.02,0.28,18.235,0.441,0,0
S19S_0003-U,0,0,59.256,1.422,0,12.685,0.316,25.811,0.51,0,0
S19S_0004-U,0,0,54.4,3.036,0,12.65,0.467,28.943,0.505,0,0
S19S_0003-D,0,0,53.375,3.056,0,12.327,0.343,30.413,0.487,0,0
S19S_0057-U,0,0,69.909,2.525,0,13.896,0.237,12.882,0.55,0,0
S19S_0043-U,0,0,57.717,2.052,0.286,13.832,1.004,24.617,0.492,0,0
S19S_0043-D,0,0,56.206,3.957,0,15.57,0.651,23.117,0.499,0,0
S19S_0001-D,0,0,62.674,1.716,0,14.514,0.253,20.345,0.498,0,0
S19S_0001-M,0,0,58.141,2.744,0,16.391,0.418,21.812,0.495,0,0
S19S_0004-D,0,1.498,61.595,3.847,0,12.976,0.437,19.229,0.419,0,0
S19S_0001-U,0,0,59.312,5.832,0,15.627,0.342,18.409,0.478,0,0
S19S_0003-M,0,0,47.098,2.46,0,10.774,0.488,38.62,0.56,0,0
S19S_0009-M,0,0,64.747,3.037,0,22.007,0.354,9.428,0.427,0,0
S19S_0006-M,0.357,0,37.307,1.413,0,13.084,0.538,46.917,0.384,0,0
S19S_0009-U,0,0,65.644,4.259,0.452,20.231,0.294,8.673,0.447,0,0
S19S_0008-D,0,0,58.926,6.146,0,13.46,0.423,20.631,0.414,0,0
S19S_0010-M,0,0,71.766,8.353,0,14.976,0.482,3.957,0.466,0,0
S19S_0006-D,0,0,39.713,1.305,0,13.013,0.682,44.89,0.397,0,0
S19S_0008-U,0,0,65.018,4.252,0,15.543,0.337,14.46,0.392,0,0
S19S_0010-D,0,0.017,72.156,6.067,0,15.213,0.423,5.552,0.572,0,0
S19S_0010-U,0,0,64.726,4.466,0,13.73,1.431,15.124,0.524,0,0
S19S_0007-U,3.064,0,49.603,3.441,0,12.707,0.637,30.137,0.411,0,0
S19S_0008-M,0.275,1.837,68.848,3.323,0,13.219,0.224,11.81,0.463,0,0
S19S_0007-D,0,0,50.31,2.216,0,14.549,0.725,31.765,0.435,0,0
S19S_0009-D,2.365,0,62.045,4.224,0,20.487,0.322,10.12,0.437,0,0
S19S_0006-U,1.464,0,60.044,0.605,0,17.033,0.312,20.074,0.469,0,0
S19S_0024-D,0,0,57.257,3.937,0,26.675,0.393,11.337,0.401,0,0
S19S_0022-D,0,0,69.726,9.072,0.285,15.822,0.036,4.623,0.436,0,0
S19S_0054-U,0,0,46.497,2.101,0,6.544,1.541,42.782,0.534,0,0
S19S_0041-M,0,1.106,57.849,4.128,0,16.435,0.329,19.748,0.404,0,0
S19S_0097-U,0,0,42.95,4.104,0,50.294,0.068,2.242,0.342,0,0
S19S_0055-U,0,0,55.509,4.099,0,12.976,0.546,26.446,0.423,0,0
S19S_0022-U,0,0.226,69.472,9.772,0,14.773,0.03,5.271,0.457,0,0
S19S_0097-M,0,0,42.017,2.961,0,51.899,0.065,2.755,0.303,0,0
S19S_0055-D,0,0.195,54.055,4.2,0,11.505,0.719,28.871,0.455,0,0
S19S_0041-D,0,0,50.939,2.789,0,17.206,0.473,28.198,0.396,0,0
S19S_0054-D,0,0,49.524,2.367,0,7.296,1.25,39.004,0.559,0,0
S19S_0025-M,0,0,65.304,6.388,0,23.606,0.151,4.141,0.411,0,0
S19S_0025-D,0,0,64.605,8.289,0,20.243,0.127,6.324,0.412,0,0
S19S_0011-D,0,0,56.044,3.253,0,9.4,0.975,29.807,0.522,0,0
S19S_0041-U,0,0,52.451,3.221,0,14.595,0.682,28.634,0.417,0,0
S19S_0059-M,1.296,2.183,52.187,2.74,0,12.733,0.531,27.554,0.553,0,0.224
S19S_0027-D,1.127,0,53.851,2.918,0,13.229,0.515,27.943,0.417,0,0
S19S_0045-D,0.135,0,70.814,9.569,0,17.264,0.085,1.714,0.421,0,0
S19S_0045-U,0,0,69.663,9.996,0,17.551,0.085,2.234,0.471,0,0
S19S_0045-M,0,0,69.522,10.47,0,17.249,0.128,2.177,0.453,0,0
S19S_0042-U,0,0,54.524,6.398,0,25.723,0.186,10.075,0.62,0,2.474
S19S_0059-U,0,0,53.44,3.928,0,11.882,0.594,29.616,0.541,0,0
S19S_0047-U,0,0,54.409,3.821,0,9.153,0.531,31.58,0.506,0,0
S19S_0051-D,0,0,58.548,3.205,0,10.719,0.786,26.272,0.471,0,0
S19S_0051-U,0,0,61.185,3.675,0,10.315,0.649,23.707,0.469,0,0
S19S_0059-D,0,0,61.797,4.313,0,15.038,0.267,18.121,0.463,0,0
S19S_0042-D,0,0,56.576,4.88,0,25.124,0.048,10.294,0.713,0,2.364
S19S_0066-M,0,0.746,54.362,4.175,0.707,22.272,0.279,17.061,0.398,0,0
S19S_0047-M,1.82,0,52.723,2.683,0,8.035,0.493,33.752,0.495,0,0
S19S_0042-M,0,0,56.818,3.069,0,26.796,0.214,9.497,0.654,0,2.951
S19S_0051-M,0,0,56.608,2.951,0,11.026,0.379,28.54,0.497,0,0
S19S_0016-U,0,0,40.886,2.707,0,47.38,0.458,8.294,0.274,0,0
S19S_0016-M,0,0,45.398,2.847,0,38.396,0.394,12.647,0.319,0,0
S19S_0027-U,0,0,54.632,3.081,0,12.88,0.463,28.504,0.439,0,0
S19S_0016-D,0,0,42.711,3.163,0,39.679,0.483,13.645,0.319,0,0
S19S_0033-M,0,0,63.136,7.148,0.376,16.264,0.123,12.537,0.416,0,0
S19S_0050-M,0,0,52.504,3.371,0,7.357,2.82,33.493,0.455,0,0
S19S_0027-M,0,0,62.141,2.894,0,13.886,0.672,19.982,0.425,0,0
S19S_0047-D,0,0,52.678,3.393,0,8.629,0.658,34.114,0.529,0,0
S19S_0053-U,0,0,66.155,7.521,0,14.931,0.31,10.613,0.47,0,0
S19S_0033-D,0,0,59.76,4.888,0,14.999,0.271,19.642,0.439,0,0
S19S_0056-U,0,0,64.498,4.297,0,15.573,0.652,14.537,0.444,0,0
S19S_0038-U,0,2.169,56.159,3.526,0,11.489,0.466,25.734,0.457,0,0
S19S_0033-U,0,0,64.595,5.811,0,15.074,0.163,13.896,0.46,0,0
S19S_0050-U,0,0,52.781,3.286,0,7.483,5.603,30.405,0.442,0,0
S19S_0012-D,0,0,61.935,4.989,0,14.356,0.627,17.667,0.426,0,0
S19S_0038-M,0,0.139,62.851,5.748,0,14.465,0.416,15.943,0.425,0,0.012
S19S_0037-D,0,0,54.992,2.183,0,10.37,1.231,30.812,0.412,0,0
S19S_0073-D,0,0,57.502,3.932,0,11.37,1.292,25.432,0.471,0,0
S19S_0037-U,0,0,59.837,4.241,0,12.982,0.756,21.741,0.443,0,0
