Sample_ID,Wet_Sediment_Mass_g,Dry_Sediment_Mass_g,Water_Mass_g,Wet_Sediment_Volume_mL
S19S_0041_SED_INC-U,21.3436,-9999,31.06,10
S19S_0042_SED_INC-D,11.8536,-9999,30.71,10
S19S_0042_SED_INC-M,10.9336,-9999,31.57,10
S19S_0042_SED_INC-U,12.0636,-9999,30.61,10
S19S_0043_SED_INC-D,19.5736,-9999,28.04,10
S19S_0043_SED_INC-M,18.0636,-9999,29.1,10
S19S_0043_SED_INC-U,24.0616,-9999,24.14,10
S19S_0044_SED_INC-D,18.0536,-9999,31.82,10
S19S_0044_SED_INC-M,18.2836,-9999,27.9,10
S19S_0044_SED_INC-U,14.9236,-9999,30.15,10
S19S_0047_SED_INC-D,15.2736,-9999,30.5,10
S19S_0047_SED_INC-M,13.9436,-9999,31.1,10
S19S_0047_SED_INC-U,18.7236,-9999,28.88,10
S19S_0050_SED_INC-D,18.7836,-9999,32.36,10
S19S_0050_SED_INC-M,18.4636,-9999,32.53,10
S19S_0050_SED_INC-U,22.7436,-9999,29.49,10
S19S_0051_SED_INC-D,16.9736,-9999,33.43,10
S19S_0051_SED_INC-M,21.6336,-9999,28.9,10
S19S_0051_SED_INC-U,18.6236,-9999,32.99,10
S19S_0052_SED_INC-D,17.4336,-9999,32.56,10
S19S_0052_SED_INC-M,18.1836,-9999,30.86,10
S19S_0052_SED_INC-U,22.1436,-9999,30.89,10
S19S_0053_SED_INC-D,21.1266,-9999,30.75,10
S19S_0053_SED_INC-M,19.7946,-9999,31.85,10
S19S_0053_SED_INC-U,22.5336,-9999,30.94,10
S19S_0054_SED_INC-D,14.7036,-9999,28.42,10
S19S_0054_SED_INC-M,16.9536,-9999,28.3,10
S19S_0054_SED_INC-U,13.5536,-9999,30.29,10
S19S_0055_SED_INC-D,16.9236,-9999,30.43,10
S19S_0055_SED_INC-M,16.8836,-9999,31.58,10
S19S_0055_SED_INC-U,21.6036,-9999,30.98,10
S19S_0056_SED_INC-M,21.1936,-9999,31.03,10
S19S_0059_SED_INC-D,15.2236,-9999,29.38,10
S19S_0059_SED_INC-M,14.0036,-9999,28.51,10
S19S_0059_SED_INC-U,15.5936,-9999,28.72,10
S19S_0060_SED_INC-D,16.2736,-9999,32.42,10
S19S_0060_SED_INC-M,18.5636,-9999,31.38,10
S19S_0060_SED_INC-U,18.8336,-9999,32.58,10
S19S_0061_SED_INC-D,14.5636,-9999,29.6,10
S19S_0061_SED_INC-M,18.7736,-9999,28.45,10
S19S_0061_SED_INC-U,23.1636,-9999,25.58,10
S19S_0062_SED_INC-D,15.8436,-9999,34.41,10
S19S_0062_SED_INC-M,14.7336,-9999,34.22,10
S19S_0062_SED_INC-U,16.3936,-9999,33.03,10
S19S_0063_SED_INC-D,18.8536,-9999,33.14,10
S19S_0063_SED_INC-M,20.8836,-9999,31.52,10
S19S_0063_SED_INC-U,19.2736,-9999,32.17,10
S19S_0064_SED_INC-D,14.4436,-9999,32.29,10
S19S_0064_SED_INC-M,19.2336,-9999,30.36,10
S19S_0064_SED_INC-U,18.5936,-9999,32,10
S19S_0066_SED_INC-D,20.2836,-9999,32.66,10
S19S_0066_SED_INC-M,20.8336,-9999,28.41,10
S19S_0066_SED_INC-U,22.6836,-9999,31.71,10
S19S_0067_SED_INC-D,12.3836,-9999,30.27,10
S19S_0067_SED_INC-M,18.3136,-9999,26.45,10
S19S_0067_SED_INC-U,18.4636,-9999,30.24,10
S19S_0068_SED_INC-M,16.6436,-9999,32.57,10
S19S_0068_SED_INC-U,17.0436,-9999,31.85,10
S19S_0069_SED_INC-D,16.3136,-9999,32.98,10
S19S_0069_SED_INC-M,14.6636,-9999,34.2,10
S19S_0069_SED_INC-U,16.8236,-9999,32.67,10
S19S_0070_SED_INC-D,16.7736,-9999,32.88,10
S19S_0070_SED_INC-M,16.6536,-9999,33.55,10
S19S_0070_SED_INC-U,19.9536,-9999,31.9,10
S19S_0071_SED_INC-D,10.0536,-9999,33.72,10
S19S_0071_SED_INC-M,15.4236,-9999,32.79,10
S19S_0071_SED_INC-U,14.9936,-9999,33.51,10
S19S_0072_SED_INC-D,14.0936,-9999,34.29,10
S19S_0072_SED_INC-M,17.0536,-9999,33.2,10
S19S_0072_SED_INC-U,20.6436,-9999,32.2,10
S19S_0073_SED_INC-D,10.5936,-9999,32.36,10
S19S_0073_SED_INC-M,13.5536,-9999,31.76,10
S19S_0073_SED_INC-U,13.9336,-9999,31.87,10
S19S_0074_SED_INC-D,22.7336,-9999,30.26,10
S19S_0074_SED_INC-M,25.5136,-9999,28.92,10
S19S_0074_SED_INC-U,23.4236,-9999,30.13,10
S19S_0075_SED_INC-D,21.1236,-9999,29.97,10
S19S_0075_SED_INC-M,19.3736,-9999,31.4,10
S19S_0075_SED_INC-U,21.0636,-9999,30.95,10
S19S_0076_SED_INC-D,19.9236,-9999,30.6,10
S19S_0076_SED_INC-M,21.5436,-9999,29.85,10
S19S_0076_SED_INC-U,19.0436,-9999,31.26,10
S19S_0077_SED_INC-D,22.5596,-9999,30.77,10
S19S_0077_SED_INC-M,20.1836,-9999,31.77,10
S19S_0077_SED_INC-U,24.3136,-9999,31.06,10
S19S_0080_SED_INC-D,19.1636,-9999,31.43,10
S19S_0080_SED_INC-M,19.0636,-9999,31.65,10
S19S_0080_SED_INC-U,18.9336,-9999,32.04,10
S19S_0081_SED_INC-U,22.4636,-9999,29.91,10
S19S_0082_SED_INC-D,12.4936,-9999,30.37,10
S19S_0082_SED_INC-M,4.6736,-9999,38.37,10
S19S_0082_SED_INC-U,13.9936,-9999,29.27,10
S19S_0083_SED_INC-D,21.3636,-9999,30.8,10
S19S_0083_SED_INC-M,11.8436,-9999,32.72,10
S19S_0083_SED_INC-U,15.4736,-9999,30.9,10
S19S_0084_SED_INC-D,18.6336,-9999,32.42,10
S19S_0084_SED_INC-M,19.5036,-9999,31.86,10
S19S_0084_SED_INC-U,19.7636,-9999,32.17,10
S19S_0085_SED_INC-D,17.2736,-9999,33.97,10
S19S_0085_SED_INC-M,20.3336,-9999,31.81,10
S19S_0085_SED_INC-U,21.9536,-9999,30.81,10
S19S_0086_SED_INC-D,18.1336,-9999,32.22,10
S19S_0086_SED_INC-M,16.4636,-9999,33.01,10
S19S_0086_SED_INC-U,16.7236,-9999,30.89,10
S19S_0087_SED_INC-D,19.7436,-9999,29.6,10
S19S_0087_SED_INC-M,10.9836,-9999,32.94,10
S19S_0087_SED_INC-U,15.4636,-9999,32.47,10
S19S_0089_SED_INC-D,12.2436,-9999,33.82,10
S19S_0089_SED_INC-M,19.1636,-9999,31.41,10
S19S_0089_SED_INC-U,22.8496,-9999,28.56,10
S19S_0090_SED_INC-D,17.8366,-9999,32.48,10
S19S_0090_SED_INC-M,19.5936,-9999,31.84,10
S19S_0090_SED_INC-U,22.3756,-9999,26.46,10
S19S_0097_SED_INC-D,16.8866,-9999,31.75,10
S19S_0097_SED_INC-M,16.5966,-9999,33.2,10
S19S_0097_SED_INC-U,19.4736,-9999,30.97,10
S19S_0098_SED_INC-D,17.9736,-9999,32.41,10
S19S_0098_SED_INC-M,17.9136,-9999,32.7,10
S19S_0098_SED_INC-U,20.9536,-9999,31.49,10
S19S_0099_SED_INC-D,21.6036,-9999,31.84,10
S19S_0099_SED_INC-M,19.2236,-9999,32.25,10
S19S_0099_SED_INC-U,21.7936,-9999,31.56,10
S19S_0100_SED_INC-D,14.5436,-9999,33.91,10
S19S_0100_SED_INC-M,16.1036,-9999,32.39,10
S19S_0100_SED_INC-U,20.9136,-9999,29.9,10
