Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate,Observed_RR_percent_error
CM_034-2,-84.37418,46.49794,20.7,6.5,6.26,,-1776.15,-84.37418,46.49794,-1853.8851629582896,254.17081859974337,1232.028101739869,5.086423084040138,0.2968080892966632,0.3438625610029694,0.1020611897119485,3.249479640170859,3.2680828287091415,-1776.15,-1853.8851629582896,4.376610250164091
CM_034-3,-84.37418,46.49794,20.7,6.5,6.26,,-1842.39,-84.37418,46.49794,-1853.8851629582896,254.17081859974337,1232.028101739869,5.086423084040138,0.2968080892966632,0.3438625610029694,0.1020611897119485,3.265381567728317,3.2680828287091415,-1842.39,-1853.8851629582896,0.6239266907815112
CM_040-1,-91.191226,30.438365,22.7,7.75,8.48,,-3601.52,-91.191226,30.438365,-3472.0386853759555,419.04386251731,1277.0263107442297,8.204344469463972,0.4870514483686948,0.5546465274334949,0.2701413945191507,3.556485830848241,3.540584555430638,-3601.52,-3472.0386853759555,3.5951852169096505
CM_040-2,-91.191226,30.438365,22.7,7.75,8.48,,-3105.59,-91.191226,30.438365,-3472.0386853759555,419.04386251731,1277.0263107442297,8.204344469463972,0.4870514483686948,0.5546465274334949,0.2701413945191507,3.4921441196182794,3.540584555430638,-3105.59,-3472.0386853759555,11.799647905098722
CM_040-3,-91.191226,30.438365,22.7,7.75,8.48,,-3855.6,-91.191226,30.438365,-3472.0386853759555,419.04386251731,1277.0263107442297,8.204344469463972,0.4870514483686948,0.5546465274334949,0.2701413945191507,3.586091971599143,3.540584555430638,-3855.6,-3472.0386853759555,9.94816149559198
CM_050-1,-121.92941,45.79232,5.17,6.5,12.3,,-10.54,-121.92941,45.79232,-33.334853855012945,337.7972763098487,1252.1671345625523,4.502250896330086,0.3905640149729948,0.3043701827218589,0.1188760406019132,1.0228406108765278,1.5228985554537662,-10.54,-33.334853855012945,216.26996067374714
CM_050-2,-121.92941,45.79232,5.17,6.5,12.3,,-12.27,-121.92941,45.79232,-33.334853855012945,337.7972763098487,1252.1671345625523,4.502250896330086,0.3905640149729948,0.3043701827218589,0.1188760406019132,1.0888445627270043,1.5228985554537662,-12.27,-33.334853855012945,171.67770052985284
CM_050-3,-121.92941,45.79232,5.17,6.5,12.3,,-7.84,-121.92941,45.79232,-33.334853855012945,337.7972763098487,1252.1671345625523,4.502250896330086,0.3905640149729948,0.3043701827218589,0.1188760406019132,0.8943160626844384,1.5228985554537662,-7.84,-33.334853855012945,325.18946243638965
CM_051-1,-121.928947,45.792427,5.05,6.5,12.44,,-1.94,-121.928947,45.792427,-29.542634475478376,338.2157493233033,1252.278912662627,4.500914168327506,0.3910870999287671,0.3042798145580752,0.1189999102423806,0.287801729930226,1.470449221075693,-1.94,-29.542634475478376,1422.816210076205
CM_051-2,-121.928947,45.792427,5.05,6.5,12.44,,-2.15,-121.928947,45.792427,-29.542634475478376,338.2157493233033,1252.278912662627,4.500914168327506,0.3910870999287671,0.3042798145580752,0.1189999102423806,0.33243845991560533,1.470449221075693,-2.15,-29.542634475478376,1274.0760221152734
CM_051-3,-121.928947,45.792427,5.05,6.5,12.44,,-3.19,-121.928947,45.792427,-29.542634475478376,338.2157493233033,1252.278912662627,4.500914168327506,0.3910870999287671,0.3042798145580752,0.1189999102423806,0.5037906830571811,1.470449221075693,-3.19,-29.542634475478376,826.101394215623
CM_052-1,-121.92897,45.792488,4.67,6.5,12.28,,-5.6,-121.92897,45.792488,-31.32535877419955,338.01554664704423,1252.2246999146373,4.496734609648303,0.3908415959888129,0.3039972596609408,0.1188147741421076,0.7481880270062004,1.4958960537368287,-5.6,-31.32535877419955,459.38140668213487
CM_052-2,-121.92897,45.792488,4.67,6.5,12.28,,-4.87,-121.92897,45.792488,-31.32535877419955,338.01554664704423,1252.2246999146373,4.496734609648303,0.3908415959888129,0.3039972596609408,0.1188147741421076,0.6875289612146344,1.4958960537368287,-4.87,-31.32535877419955,543.2311863285328
CM_052-3,-121.92897,45.792488,4.67,6.5,12.28,,-5.14,-121.92897,45.792488,-31.32535877419955,338.01554664704423,1252.2246999146373,4.496734609648303,0.3908415959888129,0.3039972596609408,0.1188147741421076,0.7109631189952758,1.4958960537368287,-5.14,-31.32535877419955,509.44277770816245
CM_053-1,-121.92839,45.79222,11.58,7.5,10.43,,-2.95,-121.92839,45.79222,-32.103818364217965,337.9131700556404,1252.1954117553382,4.281561145059083,0.390696781897588,0.2894506721335107,0.1130874461206564,0.46982201597816303,1.5065566895976672,-2.95,-32.103818364217965,988.2650292955242
CM_053-2,-121.92839,45.79222,11.58,7.5,10.43,,-3.16,-121.92839,45.79222,-32.103818364217965,337.9131700556404,1252.1954117553382,4.281561145059083,0.390696781897588,0.2894506721335107,0.1130874461206564,0.49968708261840383,1.5065566895976672,-3.16,-32.103818364217965,915.9436191208217
CM_053-3,-121.92839,45.79222,11.58,7.5,10.43,,-5.97,-121.92839,45.79222,-32.103818364217965,337.9131700556404,1252.1954117553382,4.281561145059083,0.390696781897588,0.2894506721335107,0.1130874461206564,0.7759743311293691,1.5065566895976672,-5.97,-32.103818364217965,437.7524014106863
CM_054-1,-121.9284984,45.7922792,14.11,7.0,9.93,,-2.43,-121.9284984,45.7922792,-29.95030320279281,338.171581966235,1252.2668326283328,4.468313317375407,0.3910126144664166,0.3020758665352614,0.1181154743411608,0.38560627359831223,1.4764012233407988,-2.43,-29.95030320279281,1132.5227655470292
CM_054-2,-121.9284984,45.7922792,14.11,7.0,9.93,,-1.98,-121.9284984,45.7922792,-29.95030320279281,338.171581966235,1252.2668326283328,4.468313317375407,0.3910126144664166,0.3020758665352614,0.1181154743411608,0.2966651902615311,1.4764012233407988,-1.98,-29.95030320279281,1412.6415758986268
CM_054-3,-121.9284984,45.7922792,14.11,7.0,9.93,,-2.32,-121.9284984,45.7922792,-29.95030320279281,338.171581966235,1252.2668326283328,4.468313317375407,0.3910126144664166,0.3020758665352614,0.1181154743411608,0.3654879848908996,1.4764012233407988,-2.32,-29.95030320279281,1190.9613449479662
CM_055-1,-121.9284934,45.7922551,16.28,6.5,9.01,,-1.27,-121.9284934,45.7922551,-28.9128819693008,338.29520942406924,1252.3008630131956,4.659978914336749,0.3911520635965567,0.315033228111039,0.1232258972771176,0.10380372095595687,1.4610913832992576,-1.27,-28.9128819693008,2176.604879472504
CM_055-2,-121.9284934,45.7922551,16.28,6.5,9.01,,-1.55,-121.9284934,45.7922551,-28.9128819693008,338.29520942406924,1252.3008630131956,4.659978914336749,0.3911520635965567,0.315033228111039,0.1232258972771176,0.1903316981702915,1.4610913832992576,-1.55,-28.9128819693008,1765.347223825858
CM_055-3,-121.9284934,45.7922551,16.28,6.5,9.01,,-1.22,-121.9284934,45.7922551,-28.9128819693008,338.29520942406924,1252.3008630131956,4.659978914336749,0.3911520635965567,0.315033228111039,0.1232258972771176,0.08635983067474821,1.4610913832992576,-1.22,-28.9128819693008,2269.9083581394098
CM_069-1,-111.84597,40.66522,4.67,6.5,11.54,,-1590.24,-111.84597,40.66522,-1412.4119362340523,246.1031079098828,1230.3666553700805,2.755828917771799,0.2862690788741115,0.1863050661916928,0.0533333796882762,3.2014626732575473,3.149961379111025,-1590.24,-1412.4119362340523,11.182467034280846
CM_069-2,-111.84597,40.66522,4.67,6.5,11.54,,-1622.5,-111.84597,40.66522,-1412.4119362340523,246.1031079098828,1230.3666553700805,2.755828917771799,0.2862690788741115,0.1863050661916928,0.0533333796882762,3.2101847054724066,3.149961379111025,-1622.5,-1412.4119362340523,12.948416873093848
CM_069-3,-111.84597,40.66522,4.67,6.5,11.54,,-2128.42,-111.84597,40.66522,-1412.4119362340523,246.1031079098828,1230.3666553700805,2.755828917771799,0.2862690788741115,0.1863050661916928,0.0533333796882762,3.328057331181471,3.149961379111025,-2128.42,-1412.4119362340523,33.640355933788804
CM_084-1,-105.751041,39.844312,0.61,6.5,9.59,,-11.39,-105.751041,39.844312,-40.19938403441018,336.9409150981748,1251.9273689151,4.7630933022551964,0.3895294383003752,0.3220041734925088,0.1254301048309135,1.0565237240791003,1.604219398544515,-11.39,-40.19938403441018,252.93576851984355
CM_084-2,-105.751041,39.844312,0.61,6.5,9.59,,-11.61,-105.751041,39.844312,-40.19938403441018,336.9409150981748,1251.9273689151,4.7630933022551964,0.3895294383003752,0.3220041734925088,0.1254301048309135,1.0648322197385738,1.604219398544515,-11.61,-40.19938403441018,246.24792449965702
CM_084-3,-105.751041,39.844312,0.61,6.5,9.59,,-12.07,-105.751041,39.844312,-40.19938403441018,336.9409150981748,1251.9273689151,4.7630933022551964,0.3895294383003752,0.3220041734925088,0.1254301048309135,1.0817072700973491,1.604219398544515,-12.07,-40.19938403441018,233.05206325112
CM_086-5,-121.433908,38.257823,21.46,6.5,7.58,,-694.32,-121.433908,38.257823,-781.8308124389741,265.4252890277511,1234.4860335428043,6.5703265304192175,0.3119991885275969,0.4441803739183167,0.1385839162223994,2.841559675359589,2.893112782249371,-694.32,-781.8308124389741,12.603815594966886
CM_087-4,-121.166009,37.580748,23.48,7.0,7.29,,-29.64,-121.166009,37.580748,-300.9453755879677,308.0409664659923,1244.3939187327655,8.041914320568674,0.3562874301130154,0.5436655991740103,0.1937012191705608,1.4718781993072905,2.4784876742198447,-29.64,-300.9453755879677,915.335275263049
CM_087-5,-121.166009,37.580748,23.48,7.0,7.29,,-76.63,-121.166009,37.580748,-300.9453755879677,308.0409664659923,1244.3939187327655,8.041914320568674,0.3562874301130154,0.5436655991740103,0.1937012191705608,1.8843988255566864,2.4784876742198447,-76.63,-300.9453755879677,292.7252715489596
