#Samples have International Generic Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the field metadata file and this file. Parent_IGSN is the IGSN for each site ID. The original site ID is listed in the Locality column.,,,,,,,,,,,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Other_Names,Material,Field_Name_Informal_Classification,Collection_Method,Collection_Method_Description,Comment,Latitude,Longitude,Primary_Physiographic_Feature,Physiographic_Feature_Name,Locality,Country,State_or_Province,City_or_Township,Field_Program_Cruise,Collector_Chief_Scientist,Collection_Date,Related_URL,Related_URL_Type
S19S_0005_Sediment-M,10.58052/IEWDR012S,10.58052/IEWDR00OM,N/A,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,49.86877,-97.40805,stream,Assiniboine,S19S_0005,Canada,Manitoba,Winnipeg,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Eric Bottos, 2019-08-06,https://whondrs.pnnl.gov,regular URL
S19S_0005_Sediment-U,10.58052/IEWDR012T,10.58052/IEWDR00OM,N/A,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,49.8688,-97.40836,stream,Assiniboine,S19S_0005,Canada,Manitoba,Winnipeg,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Eric Bottos, 2019-08-06,https://whondrs.pnnl.gov,regular URL
S19S_0006_Sediment-D,10.58052/IEWDR012U,10.58052/IEWDR00ON,NSF Long Term Ecological Research (LTER) site: Baltimore Ecosystem Study,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,39.311369,-76.717163,stream,Dead Run,S19S_0006,United States,Maryland,Baltimore,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Ben Glass-Siegel. Maura Roth-Gormley. Annie Blalock, 2019-07-29,https://whondrs.pnnl.gov,regular URL
S19S_0006_Sediment-M,10.58052/IEWDR012V,10.58052/IEWDR00ON,NSF Long Term Ecological Research (LTER) site: Baltimore Ecosystem Study,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,39.31162,-76.717316,stream,Dead Run,S19S_0006,United States,Maryland,Baltimore,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Ben Glass-Siegel. Maura Roth-Gormley. Annie Blalock, 2019-07-29,https://whondrs.pnnl.gov,regular URL
S19S_0006_Sediment-U,10.58052/IEWDR012W,10.58052/IEWDR00ON,NSF Long Term Ecological Research (LTER) site: Baltimore Ecosystem Study,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,39.311813,-76.717476,stream,Dead Run,S19S_0006,United States,Maryland,Baltimore,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Ben Glass-Siegel. Maura Roth-Gormley. Annie Blalock, 2019-07-29,https://whondrs.pnnl.gov,regular URL
S19S_0007_Sediment-D,10.58052/IEWDR012X,10.58052/IEWDR00OO,USDA Forest Service Experimental Watershed site: King's River,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,37.05255,-119.195598,stream,Providence Creek / KREW's P304 creek,S19S_0007,United States,California,Shaver Lake,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Erin Stacy. Nancy Ojeda. Tyler Kappen, 2019-07-29,https://whondrs.pnnl.gov,regular URL
S19S_0007_Sediment-M,10.58052/IEWDR012Y,10.58052/IEWDR00OO,USDA Forest Service Experimental Watershed site: King's River,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,37.052435,-119.19567,stream,Providence Creek / KREW's P304 creek,S19S_0007,United States,California,Shaver Lake,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Erin Stacy. Nancy Ojeda. Tyler Kappen, 2019-07-29,https://whondrs.pnnl.gov,regular URL
S19S_0007_Sediment-U,10.58052/IEWDR012Z,10.58052/IEWDR00OO,USDA Forest Service Experimental Watershed site: King's River,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,37.05229,-119.195359,stream,Providence Creek / KREW's P304 creek,S19S_0007,United States,California,Shaver Lake,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Erin Stacy. Nancy Ojeda. Tyler Kappen, 2019-07-29,https://whondrs.pnnl.gov,regular URL
S19S_0008_Sediment-D,10.58052/IEWDR0130,10.58052/IEWDR00OP,USDA Forest Service Experimental Watershed site: King's River,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,36.961112,-119.027785,stream,Teakettle T003 stream,S19S_0008,United States,California,Shaver Lake,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Erin Stacy. Nancy Ojeda and Tyler Kappen, 2019-07-29,https://whondrs.pnnl.gov,regular URL
S19S_0008_Sediment-M,10.58052/IEWDR0131,10.58052/IEWDR00OP,USDA Forest Service Experimental Watershed site: King's River,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,36.961369,-119.028281,stream,Teakettle T003 stream,S19S_0008,United States,California,Shaver Lake,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Erin Stacy. Nancy Ojeda and Tyler Kappen, 2019-07-29,https://whondrs.pnnl.gov,regular URL
