Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Respiration_Rate_mg_per_L_per_H_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Respiration_Rate_mg_per_L_per_H_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std,Sample_ID
-91.3899381275,37.3475849153,-14.1788982565,2.90249835351,21.5462767572,0.0340014527717,0.213158288575,0.00233249616818,0.000497190891317,0,0,2.84794063657,1.03586384645,5.72591133212,0,0.22553171267,0,0.000526051855606,102150
-72.4181499338,43.7142450081,-6.14555012345,2.1414480059,21.4433308904,0.0726887451361,0.169613529668,0.00498644045118,0.000845767765403,0,0,1.54034702405,0.605067536994,5.72112492379,0,0.202751435462,0,0.00101100795932,100068
-80.2978641547,38.8853855255,-10.4963859995,2.27355141267,21.4602610154,0.0779550158448,0.177784567284,0.00534770608095,0.000950739611566,0,0,2.39184886249,0.670170303567,5.71447829876,0,0.202899689587,0,0.00108504790383,103523
-86.9979215741,35.0104232589,-10.2481468056,2.19442140724,21.4515761749,0.081163934268,0.180645710463,0.00556783755523,0.00100580597091,0,0,2.31627485428,0.496637355292,5.69859984131,0,0.20585876819,0,0.0011461881806,101301
-79.9725965438,39.760747745,-6.13418569915,2.13219463896,21.4425019896,0.0927705687227,0.167305233587,0.00636405148681,0.00106473912056,0,0,1.64631158603,0.609004356014,5.72115445725,0,0.200940777441,0,0.00127879745344,101107
-82.2389713643,36.5354166411,-12.2379655477,2.50531431288,21.4866607625,0.0883248839323,0.194062930039,0.00605907796676,0.00117584242356,0,0,1.66038832185,0.763600266397,5.72364232597,0,0.215870011501,0,0.00130797323037,101234
-74.1161126532,43.9688977411,-7.67196068037,2.16850017781,21.446595569,0.108085376597,0.174271494998,0.00741464573419,0.00129216139698,0,0,3.06732452534,0.627734714398,5.72129207629,0,0.207073951058,0,0.00153537998787,104158
-73.9061416109,41.3146691515,-6.8130285401,2.13839943878,21.4434997196,0.124116971259,0.1678135559,0.00851441148152,0.00142883366711,0,0,2.06674613861,0.649701619186,5.72404871519,0,0.201770158017,0,0.00171795415005,100220
-71.9521896582,42.0230114781,-8.87726142654,2.07666558482,21.4364425015,0.125760546114,0.169534174418,0.0086271605478,0.00146259854104,0,0,1.87048917072,0.552032185419,5.71790810876,0,0.20356906895,0,0.00175622304039,100053
-71.9019858951,41.9770770293,-10.2402253777,2.25101277412,21.4549533155,0.118599516571,0.186848473457,0.00813591465654,0.00152018323375,0,0,2.93992642626,0.598999101327,5.71880369038,0,0.215180088996,0,0.00175068683986,100054
