Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
CM_001-1,-117.180494,46.732215,8.66,6.5,10.25,87.93,-41.54,-117.180494,46.732215,-261.9245458044248,79.35389236450665,1011.477871218076,2.5922950064793406,0.1824201513139537,0.18234788940503,0.0332639295770456,0.0,0.0,92.44181299450928,13.05414246144196,153.6902994237685,0.0,0.0636235212803499,0.0,0.0116016148219878
CM_001-2,-117.180494,46.732215,8.66,6.5,10.25,87.93,-47.82,-117.180494,46.732215,-261.9245458044248,79.35389236450665,1011.477871218076,2.5922950064793406,0.1824201513139537,0.18234788940503,0.0332639295770456,0.0,0.0,92.44181299450928,13.05414246144196,153.6902994237685,0.0,0.0636235212803499,0.0,0.0116016148219878
CM_001-3,-117.180494,46.732215,8.66,6.5,10.25,87.93,-42.32,-117.180494,46.732215,-261.9245458044248,79.35389236450665,1011.477871218076,2.5922950064793406,0.1824201513139537,0.18234788940503,0.0332639295770456,0.0,0.0,92.44181299450928,13.05414246144196,153.6902994237685,0.0,0.0636235212803499,0.0,0.0116016148219878
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-83.28,-77.388447,38.7819267,-163.51279739758337,81.36542013691658,1011.6387991283094,0.2332077333105583,0.18626893012574,0.0164043590161698,0.0030556224033404,0.0,0.0,64.29224398401578,13.194215499088262,153.69400250180422,0.0,0.0618870719132465,0.0,0.0010152177461244
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-173.76,-77.388447,38.7819267,-163.51279739758337,81.36542013691658,1011.6387991283094,0.2332077333105583,0.18626893012574,0.0164043590161698,0.0030556224033404,0.0,0.0,64.29224398401578,13.194215499088262,153.69400250180422,0.0,0.0618870719132465,0.0,0.0010152177461244
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-6.67,-77.1803039,40.1046605,-70.2516385080878,84.36743811945084,1011.8837181176076,0.7222960836585284,0.1930376466867994,0.0508079389311207,0.0098078449642701,0.0,0.0,15.135873970893153,13.960926518898033,153.76870736244598,0.0,0.0643138077753654,0.0,0.0032676520178786
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-8.08,-77.1803039,40.1046605,-70.2516385080878,84.36743811945084,1011.8837181176076,0.7222960836585284,0.1930376466867994,0.0508079389311207,0.0098078449642701,0.0,0.0,15.135873970893153,13.960926518898033,153.76870736244598,0.0,0.0643138077753654,0.0,0.0032676520178786
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-9.91,-77.1803039,40.1046605,-70.2516385080878,84.36743811945084,1011.8837181176076,0.7222960836585284,0.1930376466867994,0.0508079389311207,0.0098078449642701,0.0,0.0,15.135873970893153,13.960926518898033,153.76870736244598,0.0,0.0643138077753654,0.0,0.0032676520178786
CM_004-1,-73.19778,42.72306,14.89,6.5,11.31,111.85,-7.22,-73.19778,42.72306,-67.78666179148925,84.48171999802585,1011.8934179360796,0.6179052868832959,0.1933267575699862,0.043464854360231,0.0084029193617151,0.0,0.0,15.544442516090704,14.079628881621185,153.77832381502913,0.0,0.0645802716150306,0.0,0.0028069721002914
CM_004-2,-73.19778,42.72306,14.89,6.5,11.31,111.85,-17.87,-73.19778,42.72306,-67.78666179148925,84.48171999802585,1011.8934179360796,0.6179052868832959,0.1933267575699862,0.043464854360231,0.0084029193617151,0.0,0.0,15.544442516090704,14.079628881621185,153.77832381502913,0.0,0.0645802716150306,0.0,0.0028069721002914
CM_004-3,-73.19778,42.72306,14.89,6.5,11.31,111.85,-9.84,-73.19778,42.72306,-67.78666179148925,84.48171999802585,1011.8934179360796,0.6179052868832959,0.1933267575699862,0.043464854360231,0.0084029193617151,0.0,0.0,15.544442516090704,14.079628881621185,153.77832381502913,0.0,0.0645802716150306,0.0,0.0028069721002914
CM_005-1,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.16,-122.58061,48.81862,-82.41394465575095,83.8712232037866,1011.8425857449644,2.356077662649826,0.1917550626928245,0.1657318275831644,0.031779916988406,0.0,0.0,30.81112714868965,13.30016984383484,153.70925043583577,0.0,0.0629074988589661,0.0,0.0104257747545823
CM_005-2,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.8,-122.58061,48.81862,-82.41394465575095,83.8712232037866,1011.8425857449644,2.356077662649826,0.1917550626928245,0.1657318275831644,0.031779916988406,0.0,0.0,30.81112714868965,13.30016984383484,153.70925043583577,0.0,0.0629074988589661,0.0,0.0104257747545823
CM_005-3,-122.58061,48.81862,5.31,6.3,11.04,87.15,-2.56,-122.58061,48.81862,-82.41394465575095,83.8712232037866,1011.8425857449644,2.356077662649826,0.1917550626928245,0.1657318275831644,0.031779916988406,0.0,0.0,30.81112714868965,13.30016984383484,153.70925043583577,0.0,0.0629074988589661,0.0,0.0104257747545823
CM_006-1,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-3657.26,-119.8217832,38.9745676,-2377.537736263507,224.59361895358663,1035.3006456565513,5.299778244436204,0.5093765811022154,0.3727983793403719,0.1898947639088454,0.0,0.0,751.3939134471102,65.30590416681929,150.2921350304088,0.0,0.1773879780609727,0.0,0.0661299507355961
CM_006-2,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2199.18,-119.8217832,38.9745676,-2377.537736263507,224.59361895358663,1035.3006456565513,5.299778244436204,0.5093765811022154,0.3727983793403719,0.1898947639088454,0.0,0.0,751.3939134471102,65.30590416681929,150.2921350304088,0.0,0.1773879780609727,0.0,0.0661299507355961
CM_006-3,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2196.81,-119.8217832,38.9745676,-2377.537736263507,224.59361895358663,1035.3006456565513,5.299778244436204,0.5093765811022154,0.3727983793403719,0.1898947639088454,0.0,0.0,751.3939134471102,65.30590416681929,150.2921350304088,0.0,0.1773879780609727,0.0,0.0661299507355961
CM_007-1,-121.580361,39.007299,13.15,6.5,10.53,100.23,-2.13,-121.580361,39.007299,-74.9762316183787,84.17497007589888,1011.8674035877002,4.725953510616709,0.1926460715319291,0.3324342507057625,0.0640421524411255,0.0,0.0,12.903194855591792,13.9230502001596,153.7673597065588,0.0,0.0644830984157986,0.0,0.0214363905050419
CM_007-2,-121.580361,39.007299,13.15,6.5,10.53,100.23,-1.78,-121.580361,39.007299,-74.9762316183787,84.17497007589888,1011.8674035877002,4.725953510616709,0.1926460715319291,0.3324342507057625,0.0640421524411255,0.0,0.0,12.903194855591792,13.9230502001596,153.7673597065588,0.0,0.0644830984157986,0.0,0.0214363905050419
CM_007-3,-121.580361,39.007299,13.15,6.5,10.53,100.23,-6.94,-121.580361,39.007299,-74.9762316183787,84.17497007589888,1011.8674035877002,4.725953510616709,0.1926460715319291,0.3324342507057625,0.0640421524411255,0.0,0.0,12.903194855591792,13.9230502001596,153.7673597065588,0.0,0.0644830984157986,0.0,0.0214363905050419
CM_008-1,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2719.07,-117.611779,33.94849,-2602.2428092132186,247.60856433575267,1041.1577923458926,3.999739407033708,0.5455777531990451,0.2813507093983347,0.1534986878945008,0.0,0.0,895.5615092408598,68.50417714835001,146.8926445091247,0.0,0.1624540717988159,0.0,0.0457065683452448
CM_008-2,-117.611779,33.94849,29.98,9.5,18.88,249.65,-3664.98,-117.611779,33.94849,-2602.2428092132186,247.60856433575267,1041.1577923458926,3.999739407033708,0.5455777531990451,0.2813507093983347,0.1534986878945008,0.0,0.0,895.5615092408598,68.50417714835001,146.8926445091247,0.0,0.1624540717988159,0.0,0.0457065683452448
CM_008-3,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2756.74,-117.611779,33.94849,-2602.2428092132186,247.60856433575267,1041.1577923458926,3.999739407033708,0.5455777531990451,0.2813507093983347,0.1534986878945008,0.0,0.0,895.5615092408598,68.50417714835001,146.8926445091247,0.0,0.1624540717988159,0.0,0.0457065683452448
CM_009-1,-121.10824,37.7323106,16.62,6.25,9.35,95.97,-16.93,-121.10824,37.7323106,-96.9050130402308,83.34546358953145,1011.798650362491,5.030506906293502,0.1907204478350889,0.3538572248556919,0.0674878083941593,0.0,0.0,13.283091156395171,13.91590833875784,153.76734287682729,0.0,0.0638366974044193,0.0,0.0225890765874803
CM_009-2,-121.10824,37.7323106,16.62,6.25,9.35,95.97,-15.64,-121.10824,37.7323106,-96.9050130402308,83.34546358953145,1011.798650362491,5.030506906293502,0.1907204478350889,0.3538572248556919,0.0674878083941593,0.0,0.0,13.283091156395171,13.91590833875784,153.76734287682729,0.0,0.0638366974044193,0.0,0.0225890765874803
CM_009-3,-121.10824,37.7323106,16.62,6.25,9.35,95.97,-13.12,-121.10824,37.7323106,-96.9050130402308,83.34546358953145,1011.798650362491,5.030506906293502,0.1907204478350889,0.3538572248556919,0.0674878083941593,0.0,0.0,13.283091156395171,13.91590833875784,153.76734287682729,0.0,0.0638366974044193,0.0,0.0225890765874803
CM_010-1,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-6.64,-79.8466751,33.666607,-106.17754783459073,83.08042839030523,1011.7780466631832,3.167152841760904,0.1899045355643439,0.2227846887313157,0.0423078228443673,0.0,0.0,43.1916454185253,13.34560454422108,153.70804937498517,0.0,0.0623759988895737,0.0,0.0138964174969185
CM_010-2,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-4.16,-79.8466751,33.666607,-106.17754783459073,83.08042839030523,1011.7780466631832,3.167152841760904,0.1899045355643439,0.2227846887313157,0.0423078228443673,0.0,0.0,43.1916454185253,13.34560454422108,153.70804937498517,0.0,0.0623759988895737,0.0,0.0138964174969185
CM_010-3,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-5.69,-79.8466751,33.666607,-106.17754783459073,83.08042839030523,1011.7780466631832,3.167152841760904,0.1899045355643439,0.2227846887313157,0.0423078228443673,0.0,0.0,43.1916454185253,13.34560454422108,153.70804937498517,0.0,0.0623759988895737,0.0,0.0138964174969185
CM_011-1,-73.506215,42.505483,24.95,6.5,8.49,102.7,-93.9,-73.506215,42.505483,-145.60053635112033,81.7120087675099,1011.6657161988838,0.4980394010770429,0.1869899828534139,0.0350332170528245,0.0065508606560075,0.0,0.0,15.611528907494748,13.643857686808396,153.74069761850336,0.0,0.062556835278744,0.0,0.002191567188458
