InstallationMethod_ID,InstallationMethod_Description
Minidot_01,Sensor is deployed by a collaborator in a wadable river depositional zone. It is deployed for at least one hour. See WHONDRS_CM_Field_Protocol.pdf for more information.
Minidot_02,Sensor is deployed by field staff in a wadable river depositional zone. It is deployed for several weeks. See SSS_Field_Protocol.pdf for more information. 
