Sample_ID,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
100001,-67.9273612252,47.1601807342,-717.8297547892593,122.17848652025476,1145.8737648740837,1.0212372288018452,0.2110823545652453,0.0701305998001953,0.0148033321328981,0.0,0.0,493.2117531957665,40.319448786002745,350.7331446113403,0.0,0.0672348010999789,0.0,0.0047152169285883
100002,-68.0024586084,46.8479089414,-946.6513072241931,135.01782789308936,1147.750051936572,1.6668071972277048,0.2301631240476754,0.114463305093182,0.0263452318890689,0.0,0.0,564.1443941293136,68.13374448462463,353.4370817986855,0.0,0.0985056969237808,0.0,0.0112752876404032
100003,-67.8319392853,46.7736187052,-935.7744318570958,140.86553168698376,1148.780493572451,1.794634656932703,0.2377114675709089,0.123241497042338,0.0292959171275699,0.0,0.0,657.5451140657719,82.4073845996571,355.2881930314786,0.0,0.1056654169784062,0.0,0.0130223641740216
100004,-67.2980373631,45.1687180464,-605.02114642742,121.1645862720463,1145.9612125745696,1.2760613267258147,0.2122843267784056,0.0876299293652941,0.0186024605609506,0.0,0.0,573.7777380048597,44.76031228116803,350.5634645349594,0.0,0.096708858230655,0.0,0.0084745904157505
100005,-67.9355420529,44.6060839859,-156.72396021583805,116.12946171502372,1145.1275760216138,0.8714205475168987,0.1962344552607361,0.0598423597886996,0.0117431328746524,0.0,0.0,108.41021398979316,40.90276925495022,351.2248323155199,0.0,0.0474159774391609,0.0,0.0028374839816471
100006,-68.6437497835,45.2562592587,-257.42654096546664,113.48441963781744,1144.8545223207552,1.4896660674032154,0.1936507759723513,0.1022986352853148,0.0198102101039137,0.0,0.0,171.13781533936637,37.3572967265758,350.8580311783553,0.0,0.0506872326253573,0.0,0.0051852347239633
100007,-68.6976688239,44.8272759862,-372.4355619406692,111.9163896936855,1144.7072277299235,1.499629347981983,0.1925853508195373,0.1029828356094515,0.0198329855242369,0.0,0.0,245.7604025663061,34.020738761938894,350.4928051619804,0.0,0.0497984312005887,0.0,0.0051283836539388
100008,-69.8848789022,45.0515545607,-135.89714097182377,115.55766871672996,1145.059729391224,0.6675490341069744,0.1973350025440337,0.0458420559274841,0.0090462422230737,0.0,0.0,53.697444888219415,37.28039922818974,350.85769738791925,0.0,0.0513760056248065,0.0,0.0023551817231831
100009,-69.6814483853,44.4726905408,-159.95444139667455,116.33152591482371,1145.1488193121477,1.2883095225034458,0.1973825947033275,0.0884710398263407,0.0174626433970245,0.0,0.0,94.74560292955786,41.46973688688545,351.28865288061564,0.0,0.0521782285815492,0.0,0.0046162621389061
100010,-70.9770838575,44.389592367,-108.9066607191556,118.45363275813038,1145.3719612321945,1.7553851029880072,0.1999181741649732,0.1205461441092482,0.0240993650329486,0.0,0.0,93.48484802562952,42.91837898937631,351.4422620910484,0.0,0.0483506403051154,0.0,0.0058284832539948
