Field_Name,Sample_Name,IGSN,Material,NH4_mg_per_L_as_NH4,71870_Br_mg_per_L,00915_Ca_mg_per_L,00940_Cl_mg_per_L,00950_F_mg_per_L,01130_Li_mg_per_L,00925_Mg_mg_per_L,71851_NO3_mg_per_L_as_NO3,71856_NO2_mg_per_L_as_NO2,00653_PO4_mg_per_L_as_PO4,00935_K_mg_per_L,00930_Na_mg_per_L,00945_SO4_mg_per_L_as_SO4,Methods_Deviation
Unit,N/A,N/A,N/A,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,N/A
Unit_Basis,N/A,N/A,N/A,as_Ammonium,as_Bromide,as_Calcium,as_Chloride,as_Fluoride,as_Lithium,as_Magnesium,as_Nitrate,as_Nitrite,as_Phosphate,as_Potassium,as_Sodium,as_Sulfate,N/A
MethodID_Analysis,N/A,N/A,N/A,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,N/A
MethodID_Inspection,N/A,N/A,N/A,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,N/A
MethodID_Storage,N/A,N/A,N/A,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,N/A
MethodID_Preservation,N/A,N/A,N/A,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,N/A
MethodID_Preparation,N/A,N/A,N/A,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,N/A
MethodID_DataProcessing,N/A,N/A,N/A,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,0.13,0.05,0.77,0.03,0.01,0.16,0.65,0.04,0.08,0.23,0.14,0.1,0.04,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
N/A,SSS013_WIN-1,10.58052/IEWDR01MT,Liquid>aqueous,0.138,-9999,8.572,7.146,0.124,-9999,7.657,3.286,Nitrite_Below_0.08_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,Phosphate_Below_0.23_ppm_LOD|0.07_Raw_Not_Corrected|0.07_ppm_Final_Corrected,2.036,10.797,12.867,NH4_CV_030; DTL_003
N/A,SSS013_WIN-2,10.58052/IEWDR01MT,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.07_Raw_Not_Corrected|0.07_ppm_Final_Corrected,-9999,9.163,6.89,0.134,-9999,6.475,3.116,Nitrite_Below_0.08_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,2.083,10.273,10.817,NH4_CV_030; DTL_003
N/A,SSS013_WIN-3,10.58052/IEWDR01MT,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,11.508,6.676,0.104,-9999,6.607,3.033,Nitrite_Below_0.08_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,Phosphate_Below_0.23_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,2.027,10.108,10.383,NH4_CV_030; DTL_003
N/A,SSS014_WIN-1,10.58052/IEWDR01MU,Liquid>aqueous,0.219,-9999,9.019,5.649,0.091,-9999,5.748,3.899,Nitrite_Below_0.08_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,Phosphate_Below_0.23_ppm_LOD|0.09_Raw_Not_Corrected|0.09_ppm_Final_Corrected,1.718,9.181,8.739,DTL_003
N/A,SSS014_WIN-2,10.58052/IEWDR01MU,Liquid>aqueous,0.182,-9999,8.087,6.11,0.088,-9999,6.863,4.231,Nitrite_Below_0.08_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,Phosphate_Below_0.23_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,1.839,10.445,10.594,DTL_003
N/A,SSS014_WIN-3,10.58052/IEWDR01MU,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.13_Raw_Not_Corrected|0.13_ppm_Final_Corrected,-9999,7.171,5.846,0.098,-9999,5.946,4.061,Nitrite_Below_0.08_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,Phosphate_Below_0.23_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,1.783,9.761,9.358,DTL_003
N/A,SSS015_WIN-1,10.58052/IEWDR01MV,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,6.638,2.172,0.09,-9999,3.289,0.654,-9999,Phosphate_Below_0.23_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,0.628,3.458,2.505,DTL_003
N/A,SSS015_WIN-2,10.58052/IEWDR01MV,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,5.87,2.185,0.058,-9999,3.238,0.633,-9999,Phosphate_Below_0.23_ppm_LOD|0.11_Raw_Not_Corrected|0.11_ppm_Final_Corrected,0.621,3.473,2.189,DTL_003
N/A,SSS015_WIN-3,10.58052/IEWDR01MV,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,6.384,2.195,0.065,-9999,3.351,0.631,-9999,Phosphate_Below_0.23_ppm_LOD|0.09_Raw_Not_Corrected|0.09_ppm_Final_Corrected,0.627,3.449,2.225,DTL_003
N/A,SSS016_WIN-1,10.58052/IEWDR01MW,Liquid>aqueous,-9999,-9999,5.937,1.333,0.061,-9999,1.2,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,-9999,0.572,2.596,2.041,DTL_003
N/A,SSS016_WIN-2,10.58052/IEWDR01MW,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,5.351,1.437,0.056,-9999,1.446,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,0.604,2.984,2.453,DTL_003
N/A,SSS016_WIN-3,10.58052/IEWDR01MW,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,-9999,5.94,1.031,0.059,-9999,1.121,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,-9999,0.405,2.044,1.909,DTL_003
N/A,SSS017_WIN-1,10.58052/IEWDR01MX,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,7.67,1.619,0.075,-9999,1.69,0.065,-9999,-9999,0.654,3.143,2.751,NH4_CV_030; F_CV_030; DTL_003
N/A,SSS017_WIN-2,10.58052/IEWDR01MX,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,6.27,1.629,0.078,-9999,1.733,0.066,-9999,-9999,0.668,3.195,2.701,NH4_CV_030; F_CV_030; DTL_003
N/A,SSS017_WIN-3,10.58052/IEWDR01MX,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,5.996,1.62,0.039,-9999,1.665,0.08,-9999,-9999,0.666,3.119,2.652,NH4_CV_030; F_CV_030; DTL_003
N/A,SSS018_WIN-1,10.58052/IEWDR01MY,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,4.792,1.035,0.066,-9999,0.932,Nitrate_Below_0.04_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,-9999,-9999,0.502,3.788,0.848,DTL_003
N/A,SSS018_WIN-2,10.58052/IEWDR01MY,Liquid>aqueous,-9999,-9999,4.638,1.058,0.09,-9999,0.89,0.052,-9999,-9999,0.507,3.724,0.931,N/A
N/A,SSS018_WIN-3,10.58052/IEWDR01MY,Liquid>aqueous,-9999,-9999,4.311,1.033,0.068,-9999,0.949,0.051,-9999,Phosphate_Below_0.23_ppm_LOD|0.06_Raw_Not_Corrected|0.06_ppm_Final_Corrected,0.515,3.891,0.856,DTL_003
N/A,SSS019_WIN-1,10.58052/IEWDR01MZ,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,7.129,0.552,0.065,-9999,1.985,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,-9999,0.676,5.038,1.887,NO3_CV_030; DTL_003
N/A,SSS019_WIN-2,10.58052/IEWDR01MZ,Liquid>aqueous,-9999,-9999,5.156,0.492,0.058,-9999,1.456,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,-9999,0.598,4.155,1.446,NO3_CV_030; DTL_003
N/A,SSS019_WIN-3,10.58052/IEWDR01MZ,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,8.406,0.589,0.081,-9999,2.57,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,0.703,5.78,2.223,NO3_CV_030; DTL_003
N/A,SSS020_WIN-1,10.58052/IEWDR01N0,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,4.241,0.668,0.052,-9999,0.847,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,-9999,0.525,3.244,0.975,NH4_CV_030; DTL_003
N/A,SSS020_WIN-2,10.58052/IEWDR01N0,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.05_Raw_Not_Corrected|0.05_ppm_Final_Corrected,-9999,6.057,0.742,0.057,-9999,1.161,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.07_Raw_Not_Corrected|0.07_ppm_Final_Corrected,0.579,3.813,1.293,NH4_CV_030; DTL_003
N/A,SSS020_WIN-3,10.58052/IEWDR01N0,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.1_Raw_Not_Corrected|0.1_ppm_Final_Corrected,-9999,5.377,0.752,0.058,-9999,1.213,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.07_Raw_Not_Corrected|0.07_ppm_Final_Corrected,0.582,3.961,1.533,NH4_CV_030; DTL_003
N/A,SSS021_WIN-1,10.58052/IEWDR01N1,Liquid>aqueous,-9999,-9999,3.423,0.351,0.042,-9999,2.315,Nitrate_Below_0.04_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,-9999,Potassium_Below_0.14_ppm_LOD|0.1_Raw_Not_Corrected|0.1_ppm_Final_Corrected,0.74,0.654,DTL_003
N/A,SSS021_WIN-2,10.58052/IEWDR01N1,Liquid>aqueous,-9999,-9999,3.612,0.354,0.039,-9999,2.33,Nitrate_Below_0.04_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,-9999,Potassium_Below_0.14_ppm_LOD|0.1_Raw_Not_Corrected|0.1_ppm_Final_Corrected,0.747,0.654,DTL_003
N/A,SSS021_WIN-3,10.58052/IEWDR01N1,Liquid>aqueous,-9999,-9999,3.142,0.335,0.043,-9999,1.998,Nitrate_Below_0.04_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,-9999,Potassium_Below_0.14_ppm_LOD|0.1_Raw_Not_Corrected|0.1_ppm_Final_Corrected,0.704,0.568,DTL_003
N/A,SSS022_WIN-1,10.58052/IEWDR01N2,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,7.623,3.601,0.08,-9999,1.187,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,0.275,3.986,1.513,DTL_003
N/A,SSS022_WIN-2,10.58052/IEWDR01N2,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,7.434,3.262,0.072,-9999,1.048,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,-9999,0.247,3.773,1.395,DTL_003
N/A,SSS022_WIN-3,10.58052/IEWDR01N2,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,7.771,3.371,0.073,-9999,1.023,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,0.261,3.794,1.366,DTL_003
N/A,SSS023_WIN-1,10.58052/IEWDR01N3,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,-9999,9.159,1.103,0.144,-9999,5.706,0.043,-9999,Phosphate_Below_0.23_ppm_LOD|0.15_Raw_Not_Corrected|0.15_ppm_Final_Corrected,3.383,6.197,0.951,DTL_003
N/A,SSS023_WIN-2,10.58052/IEWDR01N3,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,8.957,1.129,0.146,-9999,5.736,Nitrate_Below_0.04_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.16_Raw_Not_Corrected|0.16_ppm_Final_Corrected,3.368,6.37,0.976,DTL_003
N/A,SSS023_WIN-3,10.58052/IEWDR01N3,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,-9999,10.162,1.185,0.163,-9999,7.953,Nitrate_Below_0.04_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.15_Raw_Not_Corrected|0.15_ppm_Final_Corrected,3.534,7.391,1.212,DTL_003
N/A,SSS024_WIN-1,10.58052/IEWDR01N4,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,8.938,1.036,0.128,-9999,6.375,0.064,-9999,Phosphate_Below_0.23_ppm_LOD|0.16_Raw_Not_Corrected|0.16_ppm_Final_Corrected,3.079,6.761,2.081,DTL_003
N/A,SSS024_WIN-2,10.58052/IEWDR01N4,Liquid>aqueous,-9999,-9999,8.63,1.109,0.133,-9999,7.368,0.074,-9999,Phosphate_Below_0.23_ppm_LOD|0.18_Raw_Not_Corrected|0.18_ppm_Final_Corrected,3.276,7.673,2.428,DTL_003
N/A,SSS024_WIN-3,10.58052/IEWDR01N4,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,7.878,0.86,0.107,-9999,4.62,0.056,-9999,Phosphate_Below_0.23_ppm_LOD|0.15_Raw_Not_Corrected|0.15_ppm_Final_Corrected,2.674,5.307,1.433,DTL_003
N/A,SSS025_WIN-1,10.58052/IEWDR01N5,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,-9999,7.023,2.082,0.169,-9999,4.285,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,Nitrite_Below_0.08_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,Phosphate_Below_0.23_ppm_LOD|0.07_Raw_Not_Corrected|0.07_ppm_Final_Corrected,0.858,4.928,3.742,NH4_CV_030; Ca_CV_030; Cl_CV_030; Mg_CV_030; NO3_CV_030; K_CV_030; Na_CV_030; SO4_CV_30; DTL_003
N/A,SSS025_WIN-2,10.58052/IEWDR01N5,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,-9999,7.526,4.294,0.114,-9999,7.275,5.395,Nitrite_Below_0.08_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,2.254,11.617,6.25,NH4_CV_030; Ca_CV_030; Cl_CV_030; Mg_CV_030; NO3_CV_030; K_CV_030; Na_CV_030; SO4_CV_30; DTL_003
N/A,SSS025_WIN-3,10.58052/IEWDR01N5,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,-9999,12.163,4.451,0.133,-9999,8.191,5.554,Nitrite_Below_0.08_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,Phosphate_Below_0.23_ppm_LOD|0.16_Raw_Not_Corrected|0.16_ppm_Final_Corrected,2.189,11.941,7.161,NH4_CV_030; Ca_CV_030; Cl_CV_030; Mg_CV_030; NO3_CV_030; K_CV_030; Na_CV_030; SO4_CV_30; DTL_003
N/A,SSS026_WIN-1,10.58052/IEWDR01N6,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,-9999,8.049,3.974,0.078,-9999,5.586,4.382,Nitrite_Below_0.08_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,Phosphate_Below_0.23_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,1.863,7.242,5.227,DTL_003
N/A,SSS026_WIN-2,10.58052/IEWDR01N6,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.05_Raw_Not_Corrected|0.05_ppm_Final_Corrected,-9999,8.624,3.87,0.08,-9999,5.255,4.284,Nitrite_Below_0.08_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,Phosphate_Below_0.23_ppm_LOD|0.09_Raw_Not_Corrected|0.09_ppm_Final_Corrected,1.807,6.964,4.977,DTL_003
N/A,SSS026_WIN-3,10.58052/IEWDR01N6,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,-9999,9.4,3.94,0.082,-9999,5.494,4.35,Nitrite_Below_0.08_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,Phosphate_Below_0.23_ppm_LOD|0.09_Raw_Not_Corrected|0.09_ppm_Final_Corrected,1.904,7.253,4.947,DTL_003
N/A,SSS027_WIN-1,10.58052/IEWDR01N7,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,4.797,1.055,0.077,-9999,3.324,Nitrate_Below_0.04_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,-9999,-9999,1.047,4.801,0.333,NO3_CV_030; DTL_003
N/A,SSS027_WIN-2,10.58052/IEWDR01N7,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,5.5,0.946,0.08,-9999,2.808,Nitrate_Below_0.04_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,-9999,-9999,0.988,4.159,0.287,NO3_CV_030; DTL_003
N/A,SSS027_WIN-3,10.58052/IEWDR01N7,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,5.545,1.045,0.084,-9999,3.827,Nitrate_Below_0.04_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,-9999,-9999,1.019,4.879,0.361,NO3_CV_030; DTL_003
N/A,SSS028_WIN-1,10.58052/IEWDR01N8,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,-9999,12.499,0.637,0.111,-9999,8.694,0.321,-9999,Phosphate_Below_0.23_ppm_LOD|0.21_Raw_Not_Corrected|0.21_ppm_Final_Corrected,2.595,6.718,1.966,NH4_CV_030; PO4_CV_030; DTL_003
N/A,SSS028_WIN-2,10.58052/IEWDR01N8,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,8.361,0.629,0.095,-9999,7.802,0.314,-9999,Phosphate_Below_0.23_ppm_LOD|0.12_Raw_Not_Corrected|0.12_ppm_Final_Corrected,2.611,6.538,1.807,NH4_CV_030; PO4_CV_030; DTL_003
N/A,SSS028_WIN-3,10.58052/IEWDR01N8,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.12_Raw_Not_Corrected|0.12_ppm_Final_Corrected,-9999,8.33,0.402,0.091,-9999,5.135,0.184,-9999,Phosphate_Below_0.23_ppm_LOD|0.12_Raw_Not_Corrected|0.12_ppm_Final_Corrected,1.5,3.877,1.65,NH4_CV_030; PO4_CV_030; DTL_003
N/A,SSS029_WIN-1,10.58052/IEWDR01N9,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.05_Raw_Not_Corrected|0.05_ppm_Final_Corrected,-9999,7.954,0.712,0.08,-9999,5.628,0.064,-9999,Phosphate_Below_0.23_ppm_LOD|0.12_Raw_Not_Corrected|0.12_ppm_Final_Corrected,2.034,5.867,0.837,DTL_003
N/A,SSS029_WIN-2,10.58052/IEWDR01N9,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.04_Raw_Not_Corrected|0.04_ppm_Final_Corrected,-9999,7.192,0.611,0.078,-9999,4.755,0.054,-9999,Phosphate_Below_0.23_ppm_LOD|0.07_Raw_Not_Corrected|0.07_ppm_Final_Corrected,1.722,4.891,0.728,DTL_003
N/A,SSS029_WIN-3,10.58052/IEWDR01N9,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,7.243,0.7,0.071,-9999,5.084,0.062,-9999,Phosphate_Below_0.23_ppm_LOD|0.11_Raw_Not_Corrected|0.11_ppm_Final_Corrected,2.017,5.714,0.783,DTL_003
N/A,SSS030_WIN-1,10.58052/IEWDR01NA,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,4.978,0.878,0.075,-9999,3.476,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,1.985,5.188,0.727,Mg_CV_030; SO4_CV_30; DTL_003
N/A,SSS030_WIN-2,10.58052/IEWDR01NA,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.05_Raw_Not_Corrected|0.05_ppm_Final_Corrected,-9999,7.256,1.103,0.098,-9999,6.324,Nitrate_Below_0.04_ppm_LOD|0.03_Raw_Not_Corrected|0.03_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.09_Raw_Not_Corrected|0.09_ppm_Final_Corrected,2.313,7.266,1.29,Mg_CV_030; SO4_CV_30; DTL_003
N/A,SSS030_WIN-3,10.58052/IEWDR01NA,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.05_Raw_Not_Corrected|0.05_ppm_Final_Corrected,-9999,7.877,1.134,0.103,-9999,6.869,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.09_Raw_Not_Corrected|0.09_ppm_Final_Corrected,2.347,7.547,1.378,Mg_CV_030; SO4_CV_30; DTL_003
N/A,SSS031_WIN-1,10.58052/IEWDR01NB,Liquid>aqueous,-9999,-9999,6.106,0.545,0.143,-9999,1.136,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,0.52,1.833,5.207,Mg_CV_030; NO3_CV_030; K_CV_030; Na_CV_030; SO4_CV_30; DTL_003
N/A,SSS031_WIN-2,10.58052/IEWDR01NB,Liquid>aqueous,-9999,-9999,6.014,0.541,0.142,-9999,1.141,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,0.511,1.805,5.237,Mg_CV_030; NO3_CV_030; K_CV_030; Na_CV_030; SO4_CV_30; DTL_003
N/A,SSS031_WIN-3,10.58052/IEWDR01NB,Liquid>aqueous,-9999,-9999,4.087,0.319,0.115,-9999,Magnesium_Below_0.65_ppm_LOD|0.53_Raw_Not_Corrected|0.53_ppm_Final_Corrected,Nitrate_Below_0.04_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,-9999,0.247,0.916,2.746,Mg_CV_030; NO3_CV_030; K_CV_030; Na_CV_030; SO4_CV_30; DTL_003
N/A,SSS032_WIN-1,10.58052/IEWDR01NC,Liquid>aqueous,Ammonium_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,3.763,2.576,0.059,-9999,0.82,Nitrate_Below_0.04_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,Phosphate_Below_0.23_ppm_LOD|0.1_Raw_Not_Corrected|0.1_ppm_Final_Corrected,0.678,2.68,0.505,DTL_003
