Sample_ID,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Respiration_Rate_mg_DO_per_L_per_H_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Respiration_Rate_mg_DO_per_L_per_H_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
100001,-67.9273612252,47.1601807342,-15.633382109282394,25.84004065305996,111.568011673021,1.2644546726145431,0.1329745815385891,0.0851246419178161,0.0113194136376438,0.0,0.0,3.748415957912253,22.11612077468642,69.913207677193,0.0,0.1476015813875113,0.0,0.0125645317621152
100002,-68.0024586084,46.8479089414,-23.58172463111859,26.943048888378144,112.01798701074895,2.148412412917489,0.1514965621472113,0.1446337629195053,0.0219115178527198,0.0,0.0,10.837815527895826,18.99630407964977,68.64761902185734,0.0,0.1373472562041778,0.0,0.0198650504914796
100003,-67.8319392853,46.7736187052,-22.87286656478097,25.865031036450773,111.70047258344366,2.277473502484048,0.1432087216824522,0.1533223140181065,0.0219570925959285,0.0,0.0,10.019270730882347,18.382851722242247,68.5947400413281,0.0,0.1294184140902768,0.0,0.0198427307248747
100004,-67.2980373631,45.1687180464,-18.599879710637392,28.824972385106907,112.61732133835496,1.7628130360466028,0.1677309569338979,0.1186747391673954,0.0199054275644279,0.0,0.0,9.298080169395226,25.14243161866475,70.36191840018739,0.0,0.1893400986719509,0.0,0.0224698868238226
100005,-67.9355420529,44.6060839859,-20.424409137006577,31.7552139805643,113.590887828678,1.171670476405985,0.1817564481093932,0.0788782958455172,0.014336638885803,0.0,0.0,9.543022940645727,27.964719515220963,71.08602579821924,0.0,0.2074101985593574,0.0,0.0163601630033424
100006,-68.6437497835,45.2562592587,-21.509467462235957,32.9484476998615,114.4628170439178,1.9372997838272783,0.1956737285481457,0.1304214013814882,0.02552004189079,0.0,0.0,14.416085475613734,30.80720535177924,71.31006776343497,0.0,0.2142465615972247,0.0,0.0279423368046753
100007,-68.6976688239,44.8272759862,-20.83035935251972,33.17485041970489,114.63566830334824,1.9029699211220052,0.1907202074994836,0.128110272850616,0.0244332178208849,0.0,0.0,13.718992717488248,32.64536981000132,71.9332743465704,0.0,0.2071836669746108,0.0,0.0265423561063085
100008,-69.8848789022,45.0515545607,-17.34770186748979,34.7467281251149,115.09816694953544,0.8976679963982338,0.2040155732331027,0.0604321122848008,0.0123290920294708,0.0,0.0,14.00521902249677,33.85475833312604,72.49407050255469,0.0,0.2502333494114654,0.0,0.0151221298690354
100009,-69.6814483853,44.4726905408,-17.627124507401668,32.06284929104564,114.03327850560962,1.6863645256604791,0.175290701151103,0.1135281315327277,0.0199004257767464,0.0,0.0,8.412604748928855,31.98957563116724,72.14192268971787,0.0,0.2031108393761388,0.0,0.023058794088417
100010,-70.9770838575,44.389592367,-10.308735023590136,37.86018597182077,116.69561106162448,1.3293909430036894,0.2021004675044551,0.0894962314133295,0.0180872302085207,0.0,0.0,4.474845867080679,41.42421237332609,75.26597896647947,0.0,0.288529287495274,0.0,0.0258222838832001
