Sample_ID,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Respiration_Rate_mg_per_L_per_H_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Respiration_Rate_mg_per_L_per_H_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
100001,-67.9273612252,47.1601807342,-4.069597651416088,2.429367859199867,20.894940485531787,1.265061544473503,0.1590870471014309,0.0867428340197551,0.0137996613214123,0.0,0.0,0.9943265607844348,0.8965078136175118,5.977719057396337,0.0,0.1146226231029321,0.0,0.0099426911707265
100002,-68.0024586084,46.8479089414,-9.786243481393663,2.0599340735362164,20.85400829008517,1.8958733730164976,0.1460683483861994,0.1299963863706616,0.0189883574533367,0.0,0.0,1.7085891035907148,0.5387018317871678,5.939324222927136,0.0,0.1097169618784797,0.0,0.01426280856777
100003,-67.8319392853,46.7736187052,-9.438802194869549,2.0525912339188603,20.853294131345763,2.0234624291923105,0.1452956987647195,0.1387449222588518,0.0201590404296565,0.0,0.0,1.598552277375572,0.5419632083495359,5.939582386496455,0.0,0.1092578942156947,0.0,0.0151589780391224
100004,-67.2980373631,45.1687180464,-10.070433008876678,2.139762662584036,20.865855821348607,1.4018845968540992,0.1379280337040061,0.0961245272461236,0.0132582670337849,0.0,0.0,2.983507264936351,0.9225574710954852,5.971582224220524,0.0,0.1046829840490546,0.0,0.0100626023524288
100005,-67.9355420529,44.6060839859,-5.181165438555716,2.2100760294511765,20.86980307792792,0.803320166256565,0.1511296571537364,0.0550821168746504,0.0083245414385679,0.0,0.0,1.2667155259412322,0.6984736788606635,5.954270470984669,0.0,0.1079180751123398,0.0,0.0059443560262252
100006,-68.6437497835,45.2562592587,-7.666761824903202,2.1010338018138457,20.857998726648965,1.5654454932603803,0.141165880361794,0.1073395829492018,0.0151526867246918,0.0,0.0,2.174446710637876,0.683459662027709,5.954625301681932,0.0,0.1043216247448889,0.0,0.0111978396926995
100007,-68.6976688239,44.8272759862,-7.814985248269023,2.1926449688895784,20.868473320799858,1.5327882550102678,0.1494214417971726,0.1051003390092935,0.0157042441881402,0.0,0.0,2.5455347456436166,0.6933823374615993,5.951692855251882,0.0,0.1107206077519792,0.0,0.011636773410048
100008,-69.8848789022,45.0515545607,-5.894858756362295,2.1556286586036504,20.863907200638717,0.5559040457357836,0.1441189434730635,0.0381172699311147,0.0054934206705498,0.0,0.0,1.7671759502838067,0.7460918356941146,5.960822803238345,0.0,0.1089492293412647,0.0,0.0041528471835879
100009,-69.6814483853,44.4726905408,-6.024354096750517,2.119174644253955,20.860325497979343,1.315624756310659,0.1415213873729061,0.0902098560876194,0.01276662398823,0.0,0.0,1.4812620949953244,0.7364943376764226,5.959033431190745,0.0,0.1016089995318962,0.0,0.0091661332249793
100010,-70.9770838575,44.389592367,-2.051735642397408,2.8548104172883937,20.95084315314182,1.5260073429604315,0.1895809456054124,0.1046353849278017,0.0198368752183989,0.0,0.0,1.3977481187404304,1.0139355267663877,5.988001066879952,0.0,0.1318243904164066,0.0,0.0137934958340935
100011,-70.2064326548,44.0731455038,-11.73063864327049,2.5142028669832235,20.911468100236924,2.225405321885914,0.1639951392649555,0.1525917575364831,0.0250243065278798,0.0,0.0,4.746837094152289,1.0533647801923005,5.978062325816391,0.0,0.1151536725620176,0.0,0.0175715012830189
100013,-69.9744186896,43.918531399,-10.441085327517523,2.326775765359524,20.88432443642725,2.101862109588194,0.1531835596276238,0.1441206373720736,0.0220769122484561,0.0,0.0,4.049670805768923,0.8188956780868828,5.962435939157237,0.0,0.1086324876791926,0.0,0.0156561833636391
100014,-70.3019546667,43.7268608231,-5.002582454064671,2.258542045792165,20.874830864586773,1.0122594105278055,0.1512228866569837,0.0694086785073307,0.010496180722925,0.0,0.0,1.6084419101808585,0.7530997096231096,5.961549060794467,0.0,0.1072027081137133,0.0,0.0074407983025799
100015,-70.7813953823,43.8061260977,-4.015225631072955,2.4032415770866997,20.89139554391938,1.1287679068867582,0.1604351761895998,0.0773974417463255,0.0124172722031959,0.0,0.0,1.2529552090406906,0.8101934881797719,5.967421099954102,0.0,0.1127673922567474,0.0,0.0087279076730766
100016,-70.8521447672,43.4072254227,-4.836160919935055,2.2943191995514467,20.879520178135014,0.1114902671562037,0.1548883415775749,0.0076446729259908,0.0011840707114096,0.0,0.0,1.2261599237405558,0.7799825498451299,5.9619387135297055,0.0,0.1111032217124717,0.0,0.0008493477910156
100017,-70.7435056312,43.3151044661,-7.940015126090922,2.0360000956289204,20.85114431061449,0.1761414233743649,0.1372901049966834,0.0120776782113986,0.001658145709759,0.0,0.0,2.3642518440268345,0.6390102784257298,5.951260065512391,0.0,0.1009768551760544,0.0,0.0012195659636153
100018,-71.1021736139,43.2522405659,-3.722907003165628,2.4949381174792853,20.90275295913109,0.3405479328047411,0.1641684124419315,0.0233507159711715,0.0038334499703696,0.0,0.0,0.6532699032289498,0.915094453346416,5.980195248878147,0.0,0.1207894788011978,0.0,0.0028205208117926
100019,-70.8894448683,43.1802865919,-9.97823860882233,2.068745888413525,20.85490582376661,0.7975459694578686,0.1470330402612978,0.0546861913193327,0.0080406769699924,0.0,0.0,1.6948570241981171,0.4971355196938082,5.93559981674194,0.0,0.1094595396094907,0.0,0.0059859253248106
