Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Respiration_Rate_mg_DO_per_L_per_H_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Respiration_Rate_mg_DO_per_L_per_H_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate,Observed_RR_percent_error
S19S_0019-D,-84.278999,35.9563807,18.3,8.0,11.46,,-1.43,-84.278999,35.9563807,-9.31681766520137,31.302360491443267,113.41569385777191,0.564480577434278,0.1461757525425461,0.0380015259260328,0.0055549016500028,0.15533603746506178,0.9692675962110782,-1.43,-9.31681766520137,551.5257108532427
S19S_0019-M,-84.2789099,35.956601,18.3,8.0,11.46,,-11.47,-84.2789099,35.956601,-9.31681766520137,31.302360491443267,113.41569385777191,0.564480577434278,0.1461757525425461,0.0380015259260328,0.0055549016500028,1.0595634179012676,0.9692675962110782,-11.47,-9.31681766520137,18.77229585700637
S19S_0019-U,-84.2786976,35.9572803,18.3,8.0,11.46,,-3.75,-84.2786976,35.9572803,-9.31681766520137,31.302360491443267,113.41569385777191,0.564480577434278,0.1461757525425461,0.0380015259260328,0.0055549016500028,0.5740312677277188,0.9692675962110782,-3.75,-9.31681766520137,148.44847107203654
S19S_0006-M,-76.717316,39.31162,25.7,7.5,,,-1.05,-76.717316,39.31162,-18.332833162619128,21.010134353830487,110.22260003452024,1.338741441083957,0.111644056243379,0.0901257184309939,0.0100620007774848,0.021189299069938092,1.2632295861739797,-1.05,-18.332833162619128,1645.984110725631
S19S_0006-U,-76.717476,39.311813,25.7,7.5,,,-15.22,-76.717476,39.311813,-18.332833162619128,21.010134353830487,110.22260003452024,1.338741441083957,0.111644056243379,0.0901257184309939,0.0100620007774848,1.182414652434554,1.2632295861739797,-15.22,-18.332833162619128,20.45225468212304
S19S_0007-D,-119.195598,37.05255,11.2,6.5,,,-3.32,-119.195598,37.05255,-7.1384652755646885,37.1067416897117,115.76500379280992,2.392241957244959,0.1981054663253011,0.1610486673833741,0.0319046213530516,0.5211380837040362,0.8536048512723385,-3.32,-7.1384652755646885,115.0140143242376
S19S_0007-U,-119.195359,37.05229,11.2,6.5,,,-5.26,-119.195359,37.05229,-7.1384652755646885,37.1067416897117,115.76500379280992,2.392241957244959,0.1981054663253011,0.1610486673833741,0.0319046213530516,0.7209857441537391,0.8536048512723385,-5.26,-7.1384652755646885,35.71226759628686
S19S_0008-D,-119.027785,36.961112,12.6,6.5,4.62,,-2.39,-119.027785,36.961112,-9.931168781740633,34.11274600009078,114.44462599306205,7.80166011106075,0.1903887820999113,0.525217342860818,0.0999954902450226,0.37839790094813774,0.9970003628549308,-2.39,-9.931168781740633,315.5300745498172
S19S_0008-M,-119.028281,36.961369,12.6,6.5,4.62,,-3.41,-119.02828100000002,36.961369,-9.931168781740633,34.11274600009078,114.44462599306205,7.80166011106075,0.1903887820999113,0.525217342860818,0.0999954902450226,0.5327543789924978,0.9970003628549308,-3.41,-9.931168781740633,191.23662116541445
S19S_0008-U,-119.028254,36.961273,12.6,6.5,4.62,,-4.91,-119.02825400000002,36.961273,-9.931168781740633,34.11274600009078,114.44462599306205,7.80166011106075,0.1903887820999113,0.525217342860818,0.0999954902450226,0.6910814921229685,0.9970003628549308,-4.91,-9.931168781740633,102.26412997435096
S19S_0009-D,-108.3983,42.9877,25.6,8.0,,,-12.0,-108.39830000000002,42.9877,-22.95296662495076,21.6063098062043,110.4773603535382,2.9436834921043222,0.1170841803693417,0.1981723889450593,0.0232028517314666,1.0791812460476249,1.3608388251927384,-12.0,-22.95296662495076,91.27472187458969
S19S_0009-M,-108.3983,42.9876,25.6,8.0,,,-11.22,-108.39830000000002,42.9876,-21.43817377543416,19.88137555306826,110.07523272999568,2.9436834921043222,0.1147627842383894,0.1981723889450593,0.022742815114508,1.0499928569201427,1.3311877869427526,-11.22,-21.43817377543416,91.07106751723848
S19S_0009-U,-108.3982,42.9875,25.6,8.0,,,-7.32,-108.3982,42.9875,-21.43817377543416,19.88137555306826,110.07523272999568,2.9436834921043222,0.1147627842383894,0.1981723889450593,0.022742815114508,0.8645110810583919,1.3311877869427526,-7.32,-21.43817377543416,192.87122644035733
S19S_0010-D,-81.840062,31.667875,30.0,6.7,,,-0.55,-81.840062,31.667875,-7.522727242631473,34.256311042397456,114.63565132585164,4.803599026050358,0.1670270066162041,0.3233841875595311,0.0540138928350815,-0.2596373105057561,0.876375315552071,-0.55,-7.522727242631473,1267.7685895693587
S19S_0010-M,-81.839976,31.667835,30.0,6.7,,,-0.99,-81.839976,31.667835000000004,-7.522727242631473,34.256311042397456,114.63565132585164,4.803599026050358,0.1670270066162041,0.3233841875595311,0.0540138928350815,-0.004364805402450088,0.876375315552071,-0.99,-7.522727242631473,659.8714386496437
S19S_0010-U,-81.8403,31.667905,30.0,6.7,,,-7.04,-81.8403,31.667905,-7.522727242631473,34.256311042397456,114.63565132585164,4.803599026050358,0.1670270066162041,0.3233841875595311,0.0540138928350815,0.8475726591421122,0.876375315552071,-7.04,-7.522727242631473,6.856921060106148
S19S_0011-D,-83.437674,33.955686,24.0,6.7,,,-81.75,-83.437674,33.955686,-14.268425963661588,28.30050357293219,112.50605036230095,2.8289551486334106,0.1488329106137852,0.1904487359211105,0.0283450396898549,1.9124877613323237,1.1543760661069058,-81.75,-14.268425963661588,82.54626793435892
S19S_0011-U,-83.437673,33.95569,24.0,6.7,,,-6.28,-83.437673,33.95569,-14.268425963661588,28.30050357293219,112.50605036230095,2.8289551486334106,0.1488329106137852,0.1904487359211105,0.0283450396898549,0.7979596437371962,1.1543760661069058,-6.28,-14.268425963661588,127.20423509015268
