Sample_ID,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
100001,-67.9273612252,47.1601807342,-537.701192787789,215.46205821591644,1381.2367783906782,0.9501961484129812,0.1628474204978497,0.0650077738272092,0.0105863482800686,0.0,0.0,455.32261352833416,76.45268316342377,167.3119321397697,0.0,0.0945768411895263,0.0,0.0061482299013406
100002,-68.0024586084,46.8479089414,-168.1321519237785,182.656303739022,1375.3063602110406,1.6633698257875758,0.1434115401229949,0.1137996292727614,0.0163201800994325,0.0,0.0,94.56515534481048,22.847458460947426,162.24168842092402,0.0,0.0836015615840027,0.0,0.0095138267148834
100003,-67.8319392853,46.7736187052,-232.38968208913388,178.47482696781435,1374.7532675607097,1.7952038537263184,0.1394274128327569,0.122819068769844,0.0171243450051077,0.0,0.0,105.90246289447953,22.53258011226791,162.23523722168386,0.0,0.080713618103957,0.0,0.0099131714125728
100004,-67.2980373631,45.1687180464,-140.81792888336514,184.16012825467743,1375.5033475721975,1.337840163181388,0.1444653273336087,0.0915284816617176,0.0132226920636082,0.0,0.0,51.48919056033051,22.818170041538338,162.27095990838342,0.0,0.0843530651298707,0.0,0.007720707974849
100005,-67.9355420529,44.6060839859,-138.33961838196828,184.3119868980062,1375.522144780008,0.9624224729819272,0.1441600779783594,0.0658442391650697,0.0094921106524621,0.0,0.0,47.38386419900453,22.45295845253525,162.23454173090673,0.0,0.0832204394474534,0.0,0.0054795865184003
100006,-68.6437497835,45.2562592587,-1517.8348528925087,754.8862167664585,1830.176897026037,1.5587643384505354,0.2416421642342343,0.1066430333706953,0.0257694533841984,0.0,0.0,3561.0823086369346,1748.3734822515594,1434.7896316135048,0.0,0.2490803087040409,0.0,0.0265626796731081
100007,-68.6976688239,44.8272759862,-1565.205326862449,773.4265425497781,1850.1331557090928,1.5670706630502866,0.244888855602842,0.1072113114802391,0.0262548553760755,0.0,0.0,3683.56697055686,1817.3649141463711,1501.5008096546342,0.0,0.2601057304490041,0.0,0.0278862764849633
100008,-69.8848789022,45.0515545607,-294.0129469360537,237.21024617516,1391.7301677875266,0.7673508104088228,0.1530107410072362,0.0524983899508521,0.0080328175480666,0.0,0.0,494.9874652667309,167.76288126432954,170.00120650621832,0.0,0.0759395146382036,0.0,0.0039867022521548
100009,-69.6814483853,44.4726905408,-145.48691885805178,185.70581257729515,1375.7116114164637,1.363054263909136,0.1454315291884623,0.0932535071315678,0.013562000144331,0.0,0.0,105.15041437524708,22.87165358326824,162.27409821831912,0.0,0.0842158259419647,0.0,0.0078534211250698
100010,-70.9770838575,44.389592367,-79.06489967336668,192.93610747934449,1376.7189213954273,1.784923019322029,0.1483967454640735,0.1221157043552172,0.0181215730963671,0.0,0.0,27.621203473298763,25.256985780519678,162.5083217468151,0.0,0.0831816901771225,0.0,0.0101577906854367
100011,-70.2064326548,44.0731455038,-412.13876826041417,240.2370962416203,1393.6245338792116,2.201762630299979,0.1720686613305611,0.1506338321101395,0.0259193618422841,0.0,0.0,835.5981302300241,169.24303750563593,158.56295099286064,0.0,0.1088417434527032,0.0,0.0163952489098293
100013,-69.9744186896,43.918531399,-133.978136056538,187.01771802943003,1375.9121505192431,2.092521588296675,0.1445086539682255,0.1431600942265873,0.0206878725186484,0.0,0.0,62.032092044092856,25.38509860006489,162.43263955259212,0.0,0.0828363698194858,0.0,0.011858862508746
100014,-70.3019546667,43.7268608231,-119.42024258372862,187.95217439251763,1376.0289225749978,1.0115116092564,0.1453363991442151,0.0692026778133782,0.0100576680045336,0.0,0.0,34.681490011541506,23.791124719995786,162.29062506091395,0.0,0.0832031759557541,0.0,0.0057578825787158
100015,-70.7813953823,43.8061260977,-91.33967261107976,191.25397081175583,1376.4819881968572,1.3089291005320431,0.1475379375486912,0.0895505281360672,0.0132121002275913,0.0,0.0,19.420465513730868,24.13934474266172,162.35912534175955,0.0,0.083625552244425,0.0,0.0074887123691585
100016,-70.8521447672,43.4072254227,-172.05732150463638,185.2344576547416,1375.6705891351712,0.3787098105222796,0.1414789461301532,0.0259094732700152,0.003665644973029,0.0,0.0,113.8482428692876,25.77736493923337,162.49732344653154,0.0,0.0778506777070301,0.0,0.0020170700531028
100017,-70.7435056312,43.3151044661,-191.4755154959441,182.97154074384483,1375.3547723403756,0.1949160031914613,0.1401060037420762,0.0133351997605308,0.0018683415475502,0.0,0.0,111.50706555727145,24.64443146565426,162.44325662041152,0.0,0.0769621240308149,0.0,0.0010263052979456
100018,-71.1021736139,43.2522405659,-101.9009767997442,190.2588268866174,1376.3552655019423,0.5328733519569289,0.1469365948673283,0.0364565888847478,0.0053568070312028,0.0,0.0,31.02809685845452,24.15389820833793,162.2558212846246,0.0,0.084026757816059,0.0,0.0030633289650183
100019,-70.8894448683,43.1802865919,-361.3146858998504,197.4627234864909,1378.1407296428015,0.6315907051170266,0.153069734489076,0.0432103474405688,0.0066141964099085,0.0,0.0,355.9501518648985,61.12390726710882,164.67731961653587,0.0,0.0942147166384481,0.0,0.004071050639962
100020,-71.2312026375,43.0816073977,-95.19891420052338,190.7750810503216,1376.417748432502,0.692537904123219,0.1473425838432969,0.0473800567527081,0.006981099984586,0.0,0.0,24.51988053137153,24.114005801761973,162.3344710176296,0.0,0.0839284091943199,0.0,0.0039765327907913
100021,-71.0594449203,43.0980643491,-134.0060133936274,185.9871450470932,1375.7555907417118,0.4371999363855094,0.1440813184122808,0.0299110816532868,0.0043096280797429,0.0,0.0,35.261575164676294,22.66562529556561,162.18889026638809,0.0,0.0824048074787415,0.0,0.00246481692512
100022,-71.527171193,43.2078545482,-185.1766029674996,180.53337773421475,1375.0257286850974,2.071495019249144,0.1413944641205441,0.141721559196439,0.0200386439169084,0.0,0.0,81.71604443681011,22.91895411918403,162.25452870515372,0.0,0.0819068995091475,0.0,0.0116079735073824
100023,-71.3479227542,43.2227657814,-89.90447608130107,191.1728960867962,1376.4667338281724,1.142459650936344,0.1482213483089547,0.0781615024632819,0.0115852032809613,0.0,0.0,26.708417694863424,23.708825326988617,162.33328800716174,0.0,0.0851511041895659,0.0,0.0066555382398639
100024,-71.5018674879,43.0229070829,-126.77972372621146,186.67381285707944,1375.845559699396,0.3480136669545159,0.144810504720017,0.0238093932373256,0.0034478502517744,0.0,0.0,28.813632484671032,22.94744170374326,162.2570565808692,0.0,0.0832566112996554,0.0,0.0019822893980406
100025,-71.514167281,42.8933420742,-156.3512413346891,184.07175141025533,1375.500274861666,0.1296491931662015,0.1427819325160836,0.0088699637862197,0.001266470570744,0.0,0.0,49.94784699134435,23.15240794085109,162.23582441538343,0.0,0.0821402455276248,0.0,0.0007285810032212
100026,-71.4705561494,42.7933420569,-212.00824188673704,180.66421717490687,1375.0496321243402,0.5928356116437408,0.1396772381399306,0.0405589134652032,0.0056651570147759,0.0,0.0,93.7374657246526,21.529628900874524,162.00076585970615,0.0,0.0802194473426615,0.0,0.0032536136229974
100027,-71.7895840108,42.4104253072,-104.02613350271704,189.69585723525148,1376.267490052776,0.4442554077860284,0.1464661865587228,0.030393782503859,0.0044516614184354,0.0,0.0,25.41252608110411,24.03639021183846,162.3332294987834,0.0,0.083325147784589,0.0,0.0025325664188667
100028,-71.4022227837,42.6177864704,-466.8836890976876,196.59226466074168,1378.1987272736646,0.7704754534855008,0.155300665507945,0.0527121627500354,0.0081862339554435,0.0,0.0,371.46826016748713,65.91174879163324,164.8274915247794,0.0,0.1008966294480205,0.0,0.005318479552394
100029,-71.3729172203,42.6395920302,-410.2341838812744,223.97726971511392,1387.762881278149,2.711618612086221,0.1636040588664036,0.1855156850873041,0.0303511190636644,0.0,0.0,699.9323198766466,136.51640286855476,157.6833692953157,0.0,0.0959648448913279,0.0,0.0178029839443115
100030,-71.6311427616,42.3273972203,-267.2795441383212,185.1106774991505,1375.7125609721274,0.2032314822085885,0.1425815544451157,0.0139041041705446,0.001982468785803,0.0,0.0,235.21028008738384,18.29054284826136,160.9229781401715,0.0,0.0790298313984146,0.0,0.0010988390083441
100031,-71.4852783566,42.4266753195,-175.88335330643474,182.35446816104397,1375.273489998042,0.5341964088277469,0.1408838908993163,0.0365471059658392,0.0051488984895769,0.0,0.0,61.627219718498665,23.15182354282282,162.2171669962355,0.0,0.0801420268672827,0.0,0.0029289591482357
100032,-71.4427783441,42.4594531053,-167.24973355001708,182.8510076994997,1375.3348808810017,0.2625447988484223,0.1416735290772603,0.0179620312411857,0.0025447443553347,0.0,0.0,47.36106692811229,22.574616696796017,162.17853937490904,0.0,0.0811837571263635,0.0,0.0014582251817805
100033,-71.4646272019,42.2604393318,-213.14841550352267,182.75367982243736,1375.312385887881,0.6007574126963808,0.1416401107269888,0.04110088435405,0.0058215338108847,0.0,0.0,137.83213856965085,20.42466051933164,161.98347353341182,0.0,0.0805500451584547,0.0,0.0033106780907711
